date,KG
2020-02-15,-2
2020-02-16,0
2020-02-17,-1
2020-02-18,0
2020-02-19,-1
2020-02-20,-2
2020-02-21,-3
2020-02-22,-2
2020-02-23,-2
2020-02-24,0
2020-02-25,-3
2020-02-26,-3
2020-02-27,0
2020-02-28,-2
2020-02-29,-3
2020-03-01,-4
2020-03-02,-4
2020-03-03,-3
2020-03-04,-4
2020-03-05,-4
2020-03-06,-3
2020-03-07,-1
2020-03-08,-3
2020-03-09,0
2020-03-10,-3
2020-03-11,-3
2020-03-12,-4
2020-03-13,-4
2020-03-14,-4
2020-03-15,-4
2020-03-16,0
2020-03-17,0
2020-03-18,2
2020-03-19,5
2020-03-20,6
2020-03-21,7
2020-03-22,7
2020-03-23,14
2020-03-24,15
2020-03-25,21
2020-03-26,24
2020-03-27,24
2020-03-28,20
2020-03-29,15
2020-03-30,23
2020-03-31,22
2020-04-01,25
2020-04-02,26
2020-04-03,26
2020-04-04,20
2020-04-05,16
2020-04-06,24
2020-04-07,24
2020-04-08,24
2020-04-09,26
2020-04-10,26
2020-04-11,20
