date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-02-15,-1,0,0,-1,0,-3,1,-1,-3,-2,0,0,0,0,0,0,-3
2020-02-16,0,1,1,-1,2,-2,1,1,-3,-1,2,0,1,1,1,0,-1
2020-02-17,0,-2,-2,-3,-1,1,-2,-2,1,1,-2,-1,-1,-1,-3,-1,1
2020-02-18,1,1,1,0,0,2,0,1,3,2,0,0,0,0,1,0,3
2020-02-19,0,0,1,-1,0,2,0,1,2,2,0,0,0,0,0,0,3
2020-02-20,0,0,-1,-1,0,1,0,0,2,1,0,0,-1,-1,0,-1,2
2020-02-21,0,0,0,0,0,2,0,1,3,3,0,-1,-1,0,1,-2,3
2020-02-22,0,0,0,-1,1,-2,0,0,-3,-2,0,0,1,1,0,0,-1
2020-02-23,1,1,1,1,3,1,2,2,-1,1,3,0,1,3,2,0,1
2020-02-24,-1,-2,-2,-3,-1,-1,-1,-2,0,-1,-1,-2,-1,0,-2,-1,0
2020-02-25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-02-26,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2020-02-27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-02-28,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,-2,0
2020-02-29,1,1,1,0,1,0,1,1,-1,0,1,1,1,2,1,1,0
2020-03-01,1,0,0,1,1,-1,2,1,-1,0,3,0,0,2,1,0,0
2020-03-02,-1,-2,-2,-3,-1,-1,-1,-2,0,0,-1,-2,-1,0,-2,-1,-1
2020-03-03,0,1,1,0,0,1,-1,2,1,1,-1,-1,0,0,1,0,1
2020-03-04,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0
2020-03-05,-1,0,0,0,-1,-1,-1,1,0,0,-1,-1,0,-1,0,-1,0
2020-03-06,-1,1,1,0,-1,0,-1,1,0,0,-1,-2,-1,-1,0,-2,0
2020-03-07,0,1,1,0,0,1,0,1,-1,0,0,0,1,1,0,0,0
2020-03-08,0,-2,-1,0,1,-2,1,-1,-1,-1,2,0,-2,1,1,-1,-1
2020-03-09,-1,-2,-2,-3,-1,0,-3,-1,0,-1,-2,-2,-1,-1,-3,-2,0
2020-03-10,0,1,1,1,-1,1,-2,2,1,0,-1,-1,0,-1,0,-1,1
2020-03-11,0,2,0,1,-1,0,0,0,1,0,0,-1,0,0,-1,0,0
2020-03-12,6,7,6,7,5,6,7,6,8,5,6,6,6,5,6,6,6
2020-03-13,10,12,9,12,9,10,11,9,14,9,10,8,8,8,10,7,9
2020-03-14,10,10,8,11,10,9,12,7,12,9,11,9,10,11,9,9,6
2020-03-15,10,10,8,11,11,9,12,8,11,9,12,9,10,10,10,8,8
2020-03-16,15,13,11,15,14,15,14,10,20,14,14,11,15,14,12,11,13
2020-03-17,17,17,14,20,16,17,16,14,23,15,15,14,17,16,16,13,15
2020-03-18,16,17,15,19,16,16,16,13,22,14,16,14,17,16,15,14,15
2020-03-19,17,18,16,20,17,18,16,15,23,15,16,16,18,16,16,15,16
2020-03-20,19,20,17,22,19,21,18,18,25,17,18,15,19,18,19,14,18
2020-03-21,14,14,12,16,14,14,13,12,14,13,14,12,14,15,14,11,10
2020-03-22,12,11,10,14,13,12,14,10,13,11,14,11,12,13,12,10,9
2020-03-23,18,16,13,19,18,19,16,14,23,16,17,14,17,18,15,13,15
2020-03-24,19,19,17,23,19,21,18,17,25,17,18,15,18,19,19,14,16
2020-03-25,20,20,18,24,20,21,20,18,26,18,21,17,20,20,19,16,18
2020-03-26,20,21,18,24,20,22,19,18,26,18,20,17,20,20,20,16,18
2020-03-27,21,22,19,24,20,22,20,20,27,19,20,17,20,20,21,15,19
2020-03-28,12,13,11,15,12,12,12,11,13,11,13,10,12,14,12,10,10
2020-03-29,13,13,12,14,13,13,12,12,13,12,13,11,14,13,12,11,12
2020-03-30,20,17,15,21,18,20,17,16,25,17,18,15,19,19,16,15,18
2020-03-31,21,20,18,24,20,23,18,19,26,18,19,17,20,20,20,17,18
2020-04-01,21,21,19,24,19,22,20,19,26,18,20,18,21,20,19,18,19
2020-04-02,21,21,19,24,20,22,19,20,27,18,20,18,21,20,20,18,19
2020-04-03,22,23,20,25,21,24,21,22,28,20,21,19,22,21,22,18,21
2020-04-04,15,16,14,16,15,15,14,14,16,13,14,14,16,16,14,13,13
2020-04-05,12,12,10,14,12,12,13,10,13,11,13,11,12,13,12,10,10
2020-04-06,19,17,14,20,17,20,16,16,24,16,17,15,18,18,15,15,17
2020-04-07,20,20,17,23,18,21,17,18,25,17,18,16,19,19,18,15,17
2020-04-08,18,18,16,21,16,19,17,16,23,16,18,15,18,18,17,15,16
2020-04-09,19,19,16,22,17,20,17,17,23,17,19,17,19,18,18,15,17
2020-04-10,23,24,20,28,21,24,22,22,28,23,25,19,21,22,24,17,21
2020-04-11,17,18,16,19,17,17,17,16,18,16,18,16,17,18,17,15,15
