date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-02-15,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-2,-2,0,0,-1,-2,-1,0,-1,-1
2020-02-16,0,1,0,0,2,0,0,0,0,-1,0,0,0,0,0,1,0,0,3,0,1
2020-02-17,0,0,0,1,0,-1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
2020-02-18,0,-1,0,0,0,-2,-1,-1,-1,-1,0,0,0,1,0,-1,1,0,0,-1,-1
2020-02-19,-1,-1,0,-1,-1,-1,-2,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,0,-1,-1
2020-02-20,-1,-2,0,-1,-2,-1,-2,-2,-1,-1,-1,-1,-1,0,-2,-2,-1,-1,0,-1,-1
2020-02-21,-2,-2,-2,-3,-2,-2,-2,-2,-3,-3,-3,-2,-2,2,-2,-2,-3,-2,-1,-3,-2
2020-02-22,-3,-2,-2,-1,-2,0,-3,-2,-2,-2,0,-2,-4,1,0,-2,-2,-3,-1,-2,-2
2020-02-23,-4,-4,-5,0,-4,0,-4,-4,0,-3,0,-4,-4,0,0,-4,-3,-4,-3,0,-4
2020-02-24,3,5,2,3,4,1,2,3,4,3,3,4,3,4,3,3,4,4,3,2,5
2020-02-25,16,20,13,10,19,8,12,17,13,9,12,19,15,16,0,19,16,16,17,13,15
2020-02-26,2,3,5,1,4,1,1,2,1,2,2,3,2,7,2,3,3,2,5,3,3
2020-02-27,0,0,3,1,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0
2020-02-28,-1,-1,1,-3,-1,-1,-1,-1,-2,-3,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1
2020-02-29,1,1,0,1,2,0,1,1,1,1,0,1,0,1,0,1,0,0,1,2,2
2020-03-01,2,4,1,0,4,0,0,3,0,1,0,3,2,1,0,3,2,1,3,0,3
2020-03-02,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2020-03-03,0,0,0,0,1,0,0,0,-1,-1,1,0,0,0,1,1,0,0,1,1,0
2020-03-04,0,0,0,-1,1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,2,0,0
2020-03-05,0,0,1,1,0,0,-1,-1,-1,0,0,0,-1,0,1,0,0,0,1,0,0
2020-03-06,-1,0,1,-2,-1,-1,0,0,-3,-2,-1,0,-1,0,0,0,-1,-1,0,-1,-1
2020-03-07,-1,-1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,-2,-2,-1,-1,-1
2020-03-08,0,1,0,0,2,0,0,0,0,-2,0,-1,-1,-1,0,2,-1,-2,3,0,1
2020-03-09,1,0,1,0,1,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,-1,1
2020-03-10,0,0,0,0,2,-1,-1,1,-1,0,-1,0,1,0,0,2,0,0,0,0,-1
2020-03-11,1,1,1,0,3,0,0,1,-1,0,-1,0,1,0,-1,2,0,0,2,0,0
2020-03-12,4,4,3,2,4,1,1,3,1,3,1,2,5,1,0,5,2,3,3,1,2
2020-03-13,9,10,2,2,9,3,5,9,4,5,3,7,11,5,4,12,6,8,7,6,5
2020-03-14,13,15,6,0,14,0,8,13,10,11,0,13,14,12,0,15,11,13,12,10,10
2020-03-15,15,18,0,0,17,0,0,16,0,12,0,16,14,13,0,17,13,13,0,0,14
2020-03-16,22,22,15,14,22,17,18,21,17,17,18,20,24,19,15,23,19,23,20,19,20
2020-03-17,24,23,19,16,24,19,19,23,20,20,19,22,27,23,17,26,21,26,21,21,21
2020-03-18,24,26,21,16,25,18,19,23,19,20,19,22,27,25,16,27,20,26,24,22,21
