date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-02-15,6,10,12,NA,7,12,5,7,13,-6,16,27,-4,8,15,23,28,13,23,10,22,15,16,6,27,6,0
2020-02-16,8,12,-3,NA,11,11,0,3,7,2,-7,11,6,12,25,10,0,29,18,15,16,21,14,-10,21,10,3
2020-02-17,-2,4,-4,0,1,-1,-3,1,-3,4,2,5,-16,-8,-2,-14,0,5,-2,0,-1,0,1,-2,13,-11,-4
2020-02-18,3,4,-3,0,5,4,3,3,5,3,2,27,-12,-1,4,11,19,9,8,7,7,3,4,4,30,-4,-1
2020-02-19,-4,-2,-5,0,-1,-2,-6,-5,-3,-2,-11,2,-18,-9,-6,-30,-17,4,-6,0,-2,1,4,0,8,-15,-5
2020-02-20,5,9,-1,0,1,9,2,14,2,0,0,6,-13,31,4,48,19,1,27,15,12,19,14,23,26,-7,-2
2020-02-21,1,2,2,0,-4,5,0,2,6,1,-6,4,-6,-1,9,-3,-2,4,3,7,6,4,19,-4,22,-8,-3
2020-02-22,14,22,19,NA,1,33,7,30,15,-1,24,22,34,37,18,24,28,20,33,34,40,24,30,35,35,5,5
2020-02-23,13,26,-10,NA,-3,51,-5,26,15,9,-2,-2,41,40,18,-35,-6,10,-11,50,24,34,38,16,32,18,1
2020-02-24,7,10,-7,0,-7,1,7,12,-8,8,-2,13,12,43,1,22,39,12,16,7,8,11,-7,27,23,8,4
2020-02-25,3,2,-3,0,-6,-3,0,0,-8,5,7,22,7,19,-10,3,25,7,1,3,8,2,-11,-1,19,4,2
2020-02-26,-5,-4,-2,0,-4,-14,-5,-10,-18,1,-11,-1,-7,-12,-16,-26,-20,1,-18,-4,-5,-4,-16,-22,-8,-4,-2
2020-02-27,-5,0,-7,0,-4,-11,-3,-4,-15,0,-9,-8,-13,-14,-14,-28,-23,-1,-17,-2,-4,-4,-19,-22,-4,-4,-1
2020-02-28,-1,2,-2,0,-7,-13,1,-1,-13,4,-3,2,1,-8,-2,1,7,1,-4,-3,2,5,-12,-19,7,1,-1
2020-02-29,-7,3,7,NA,-11,-12,-10,-8,-9,-5,5,-12,-7,-14,-4,-9,-14,3,-15,-9,1,0,-20,-24,-10,-8,-2
2020-03-01,2,11,3,NA,-2,11,-7,9,1,-1,-2,-15,5,2,17,-9,-10,20,0,-4,15,26,-16,-20,-5,4,5
2020-03-02,-7,0,4,0,-19,-26,-8,-3,-6,-4,-12,-19,-6,-4,0,-28,-13,2,-12,-7,-5,1,-15,-22,-14,-5,-6
