date,SK,Banská Bystrica Region,Bratislava Region,Košice Region,Nitra Region,Prešov Region,Trenčín Region,Trnava Region,Žilina Region
2020-02-15,41,29,49,39,53,12,55,94,36
2020-02-16,25,28,19,27,38,20,27,43,52
2020-02-17,43,37,36,0,38,60,33,33,81
2020-02-18,45,37,44,0,37,57,23,42,66
2020-02-19,29,41,14,0,11,42,8,5,62
2020-02-20,31,41,30,9,21,40,26,35,47
2020-02-21,14,19,17,7,-10,9,3,-8,24
2020-02-22,30,22,51,32,38,2,37,67,15
2020-02-23,-22,-14,-26,11,-9,-25,-42,-8,-17
2020-02-24,17,17,25,0,33,-3,28,16,31
2020-02-25,34,35,57,0,44,14,30,0,31
2020-02-26,6,9,22,10,8,-5,-6,8,9
2020-02-27,14,17,21,7,9,13,18,12,27
2020-02-28,-3,-2,-1,-5,1,-16,-8,-7,-3
2020-02-29,5,1,17,3,19,-23,1,24,10
2020-03-01,-18,-16,-16,-1,-9,-25,-22,-11,-8
2020-03-02,13,9,32,6,29,-3,17,28,8
2020-03-03,-3,-10,8,17,9,-9,-4,11,-21
2020-03-04,2,2,34,-15,16,-28,5,23,-7
2020-03-05,23,22,28,41,24,23,39,26,28
2020-03-06,-8,-12,-2,-11,-18,-19,-8,-8,-10
2020-03-07,-2,-4,14,3,12,-27,4,33,-14
2020-03-08,18,15,47,23,51,-19,24,89,3
2020-03-09,15,17,18,0,33,-1,20,23,17
2020-03-10,26,22,55,0,45,-8,33,0,8
2020-03-11,-10,-10,22,15,13,-41,-15,17,-37
2020-03-12,19,9,60,24,31,-26,43,80,0
2020-03-13,-23,-22,-23,-16,-12,-53,-5,0,-30
2020-03-14,-29,-23,-11,13,-9,-72,-17,29,-53
2020-03-15,-18,-4,-19,43,4,-53,-10,20,-21
2020-03-16,-26,-15,-20,11,-21,-54,-13,-11,-33
2020-03-17,-12,-3,-16,0,1,-48,5,25,-22
2020-03-18,3,10,29,0,7,-45,18,43,-20
2020-03-19,5,10,29,66,1,-42,28,49,-12
2020-03-20,-5,-3,27,44,-2,-54,-5,44,-41
2020-03-21,-71,-65,-69,-56,-62,-86,-68,-53,-75
2020-03-22,-50,-36,-43,-19,-35,-75,-48,-31,-57
2020-03-23,-45,-36,-39,-30,-36,-66,-43,-33,-51
2020-03-24,-24,-18,-10,-2,-8,-59,-25,11,-40
2020-03-25,-36,-22,-40,6,-28,-60,-32,-15,-41
2020-03-26,-24,-15,-26,26,-22,-55,-5,9,-31
2020-03-27,-1,5,15,64,0,-50,13,35,-26
2020-03-28,-1,-9,37,66,30,-68,17,114,-32
2020-03-29,-9,5,-3,67,29,-55,3,45,-25
2020-03-30,-38,-26,-38,-19,-22,-61,-31,-25,-46
2020-03-31,-22,-12,-14,15,-9,-55,-16,15,-36
2020-04-01,-11,3,2,0,4,-53,-5,15,-26
2020-04-02,-10,2,2,28,0,-45,2,22,-20
2020-04-03,-12,-7,-3,41,0,-54,-10,29,-35
2020-04-04,-7,5,15,59,25,-65,-2,76,-34
2020-04-05,26,39,32,0,68,-32,35,106,13
2020-04-06,6,17,14,0,22,-39,22,33,-5
2020-04-07,34,40,54,0,45,-25,51,0,7
2020-04-08,4,24,13,0,13,-42,3,43,-8
2020-04-09,8,21,21,64,14,-40,26,46,-3
2020-04-10,17,20,70,59,7,-52,26,57,-13
2020-04-11,-4,9,20,56,27,-65,4,64,-29
