date,BO
2020-02-15,0
2020-02-16,3
2020-02-17,0
2020-02-18,-2
2020-02-19,-2
2020-02-20,-1
2020-02-21,-1
2020-02-22,1
2020-02-23,0
2020-02-24,13
2020-02-25,13
2020-02-26,2
2020-02-27,0
2020-02-28,0
2020-02-29,3
2020-03-01,4
2020-03-02,-1
2020-03-03,-2
2020-03-04,-1
2020-03-05,-1
2020-03-06,-2
2020-03-07,0
2020-03-08,2
2020-03-09,-1
2020-03-10,-2
2020-03-11,-2
2020-03-12,0
2020-03-13,5
2020-03-14,5
2020-03-15,7
2020-03-16,13
2020-03-17,11
2020-03-18,18
2020-03-19,19
2020-03-20,23
2020-03-21,16
2020-03-22,29
2020-03-23,40
2020-03-24,38
2020-03-25,38
2020-03-26,41
2020-03-27,43
2020-03-28,43
2020-03-29,35
2020-03-30,40
2020-03-31,38
2020-04-01,38
2020-04-02,39
2020-04-03,40
2020-04-04,43
2020-04-05,35
2020-04-06,38
2020-04-07,37
2020-04-08,36
2020-04-09,36
2020-04-10,47
2020-04-11,36
