date,PH
2020-02-15,1
2020-02-16,-3
2020-02-17,-2
2020-02-18,0
2020-02-19,-6
2020-02-20,-5
2020-02-21,-6
2020-02-22,-1
2020-02-23,-7
2020-02-24,-4
2020-02-25,-18
2020-02-26,-3
2020-02-27,-6
2020-02-28,-6
2020-02-29,0
2020-03-01,-5
2020-03-02,-5
2020-03-03,-4
2020-03-04,-7
2020-03-05,-6
2020-03-06,-8
2020-03-07,-4
2020-03-08,-9
2020-03-09,-7
2020-03-10,-11
2020-03-11,-17
2020-03-12,-17
2020-03-13,-17
2020-03-14,-15
2020-03-15,-42
2020-03-16,-42
2020-03-17,-63
2020-03-18,-72
2020-03-19,-75
2020-03-20,-79
2020-03-21,-78
2020-03-22,-79
2020-03-23,-81
2020-03-24,-81
2020-03-25,-81
2020-03-26,-81
2020-03-27,-83
2020-03-28,-82
2020-03-29,-82
2020-03-30,-84
2020-03-31,-83
2020-04-01,-84
2020-04-02,-84
2020-04-03,-85
2020-04-04,-84
2020-04-05,-84
2020-04-06,-84
2020-04-07,-83
2020-04-08,-83
2020-04-09,-86
2020-04-10,-90
2020-04-11,-86
