date,BW
2020-02-15,-16
2020-02-16,-11
2020-02-17,-13
2020-02-18,-12
2020-02-19,-6
2020-02-20,4
2020-02-21,10
2020-02-22,-2
2020-02-23,1
2020-02-24,-6
2020-02-25,-10
2020-02-26,0
2020-02-27,-1
2020-02-28,12
2020-02-29,5
2020-03-01,8
2020-03-02,2
2020-03-03,6
2020-03-04,-6
2020-03-05,-1
2020-03-06,2
2020-03-07,-4
2020-03-08,-6
2020-03-09,-8
2020-03-10,-14
2020-03-11,-16
2020-03-12,-12
2020-03-13,-9
2020-03-14,-18
2020-03-15,-17
2020-03-16,-22
2020-03-17,-21
2020-03-18,-20
2020-03-19,-17
2020-03-20,-6
2020-03-21,-8
2020-03-22,-20
2020-03-23,-16
2020-03-24,-11
2020-03-25,-4
2020-03-26,2
2020-03-27,3
2020-03-28,-4
2020-03-29,-20
2020-03-30,-14
2020-03-31,-15
2020-04-01,-22
2020-04-02,-26
2020-04-03,-80
2020-04-04,-80
2020-04-05,-81
2020-04-06,-77
2020-04-07,-80
2020-04-08,-80
2020-04-09,-79
2020-04-10,-84
2020-04-11,-81
