date,IN
2020-02-15,3
2020-02-16,2
2020-02-17,1
2020-02-18,2
2020-02-19,1
2020-02-20,5
2020-02-21,-4
2020-02-22,-2
2020-02-23,0
2020-02-24,1
2020-02-25,1
2020-02-26,3
2020-02-27,1
2020-02-28,1
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,3
2020-03-05,2
2020-03-06,3
2020-03-07,5
2020-03-08,3
2020-03-09,-6
2020-03-10,-22
2020-03-11,-1
2020-03-12,0
2020-03-13,-2
2020-03-14,-8
2020-03-15,-7
2020-03-16,-6
2020-03-17,-9
2020-03-18,-10
2020-03-19,-14
2020-03-20,-18
2020-03-21,-25
2020-03-22,-70
2020-03-23,-52
2020-03-24,-64
2020-03-25,-73
2020-03-26,-73
2020-03-27,-73
2020-03-28,-73
2020-03-29,-71
2020-03-30,-74
2020-03-31,-73
2020-04-01,-73
2020-04-02,-74
2020-04-03,-73
2020-04-04,-73
2020-04-05,-71
2020-04-06,-73
2020-04-07,-67
2020-04-08,-68
2020-04-09,-68
2020-04-10,-69
2020-04-11,-69
