date,LT,Alytus County,Kaunas County,Klaipėda County,Marijampolė County,Panevėžys County,Šiauliai County,Tauragė County,Telšiai County,Utena County,Vilnius County
2020-02-15,44,5,14,169,8,15,19,0,13,30,37
2020-02-16,29,25,17,101,0,30,8,0,22,15,22
2020-02-17,15,16,15,21,0,20,6,0,0,10,16
2020-02-18,12,21,6,16,0,23,6,0,0,12,13
2020-02-19,18,22,22,-7,0,16,4,0,-2,22,24
2020-02-20,17,17,13,31,0,18,22,0,0,27,14
2020-02-21,7,9,-9,6,-2,-2,6,0,6,10,12
2020-02-22,-11,4,-17,-50,-10,-14,-19,0,-16,-2,8
2020-02-23,8,7,-2,63,0,7,-2,0,-2,21,-6
2020-02-24,18,7,20,35,0,18,22,0,0,8,19
2020-02-25,-5,-9,-6,-6,0,2,-2,0,0,-11,-2
2020-02-26,15,12,31,-17,0,13,8,0,-2,6,20
2020-02-27,-11,-9,-9,-38,0,-4,-12,0,-9,2,-4
2020-02-28,2,2,3,-1,0,-4,-2,0,2,1,-2
2020-02-29,15,11,19,11,15,4,8,0,25,14,17
2020-03-01,30,16,27,137,0,26,35,0,0,12,5
2020-03-02,24,13,37,12,0,22,18,0,0,16,30
2020-03-03,15,19,22,10,0,24,0,0,0,-2,19
2020-03-04,9,10,14,-6,0,7,6,0,-5,0,10
2020-03-05,19,17,29,14,0,21,14,0,0,18,19
2020-03-06,46,23,35,36,22,29,45,0,34,26,67
2020-03-07,21,10,-3,27,14,-3,-1,0,5,10,54
2020-03-08,58,17,26,259,0,44,63,0,0,35,34
2020-03-09,30,25,34,48,0,29,0,0,0,18,25
2020-03-10,40,38,46,53,0,33,27,0,0,32,43
2020-03-11,44,42,29,101,0,17,15,0,0,28,46
2020-03-12,-10,-7,-21,-13,0,-9,-9,0,-4,4,-4
2020-03-13,8,25,7,-9,12,-12,-2,0,-2,4,10
2020-03-14,-15,-8,-28,-26,-7,-15,4,0,11,-5,-11
2020-03-15,51,28,47,59,0,47,70,0,0,50,59
2020-03-16,5,12,2,-31,0,-2,-6,0,0,14,24
2020-03-17,48,50,47,34,0,35,0,0,0,0,66
2020-03-18,41,72,50,-15,0,7,4,0,-16,39,60
2020-03-19,30,30,19,44,0,23,48,0,0,0,30
2020-03-20,25,36,14,9,8,1,26,0,11,38,32
2020-03-21,0,5,-11,-21,-15,-7,20,0,16,14,12
2020-03-22,7,5,-11,23,-2,6,40,0,22,31,6
2020-03-23,25,32,12,26,0,26,0,0,0,0,24
2020-03-24,28,36,16,27,0,27,29,0,0,55,34
2020-03-25,37,44,23,12,0,26,38,0,0,0,48
2020-03-26,36,47,17,24,0,21,36,0,0,0,49
2020-03-27,43,50,28,33,14,16,44,0,40,67,48
2020-03-28,62,59,38,10,42,33,62,0,73,103,108
2020-03-29,-28,0,-48,-43,-35,-32,-41,0,-18,1,-22
2020-03-30,3,14,0,-20,0,11,8,0,0,0,5
2020-03-31,7,20,-2,3,0,9,-8,0,0,32,11
2020-04-01,-19,2,-31,-35,-30,-26,-28,0,-14,9,-17
2020-04-02,-20,4,-33,-37,-24,-26,-29,0,-28,9,-11
2020-04-03,-11,-1,-22,-34,-24,-24,-19,0,-17,15,-4
2020-04-04,3,4,-6,-30,-3,-8,1,0,16,24,28
2020-04-05,63,66,43,79,0,47,68,0,0,96,64
2020-04-06,74,76,63,80,0,60,0,0,0,0,86
2020-04-07,87,98,74,69,0,62,0,0,0,0,114
2020-04-08,75,85,59,51,0,57,0,0,0,0,86
2020-04-09,17,42,0,-3,0,3,17,0,0,0,27
2020-04-10,22,40,8,-6,8,2,37,0,32,48,26
2020-04-11,-13,-4,-21,-43,-20,-21,-20,0,-10,-5,8
