date,HT
2020-02-15,-3
2020-02-16,2
2020-02-17,-4
2020-02-18,-5
2020-02-19,-9
2020-02-20,-7
2020-02-21,-6
2020-02-22,-6
2020-02-23,-17
2020-02-24,-36
2020-02-25,-28
2020-02-26,-24
2020-02-27,-4
2020-02-28,-4
2020-02-29,-5
2020-03-01,-10
2020-03-02,-3
2020-03-03,-5
2020-03-04,-3
2020-03-05,-3
2020-03-06,-2
2020-03-07,-4
2020-03-08,-10
2020-03-09,-7
2020-03-10,-7
2020-03-11,-5
2020-03-12,-7
2020-03-13,-3
2020-03-14,-2
2020-03-15,-4
2020-03-16,-6
2020-03-17,-6
2020-03-18,-5
2020-03-19,-8
2020-03-20,-12
2020-03-21,-24
2020-03-22,-31
2020-03-23,-28
2020-03-24,-32
2020-03-25,-32
2020-03-26,-34
2020-03-27,-35
2020-03-28,-34
2020-03-29,-34
2020-03-30,-33
2020-03-31,-32
2020-04-01,-29
2020-04-02,-32
2020-04-03,-31
2020-04-04,-34
2020-04-05,-34
2020-04-06,-29
2020-04-07,-30
2020-04-08,-29
2020-04-09,-28
2020-04-10,-49
2020-04-11,-38
