date,ES,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-02-15,26,33,42,20,11,39,5,53,28,36,17,3,31,32,-16,27,6,34,28,33
2020-02-16,13,17,20,11,4,7,5,12,37,40,4,10,34,21,-31,14,-2,28,1,8
2020-02-17,9,10,14,-13,15,-30,-2,-16,11,8,10,8,10,5,19,-6,-2,2,2,9
2020-02-18,5,6,16,11,6,4,-1,16,15,5,9,-8,11,21,21,-1,-2,8,-12,-11
2020-02-19,11,7,23,29,25,15,-6,27,22,11,9,-8,18,15,20,16,-12,20,5,10
2020-02-20,15,10,24,32,22,6,-7,25,24,29,11,-12,18,16,19,34,-2,24,8,14
2020-02-21,20,14,45,18,18,18,7,30,31,22,16,-20,22,44,22,19,-4,30,15,15
2020-02-22,44,38,84,29,25,55,9,50,59,61,35,-10,53,77,24,55,48,46,51,42
2020-02-23,33,28,54,23,36,25,-34,18,73,59,33,-2,56,64,41,36,-15,42,24,18
2020-02-24,36,28,44,48,33,20,14,37,80,42,25,8,35,60,64,45,10,60,10,19
2020-02-25,17,19,26,6,29,-14,48,-17,49,20,4,-4,15,39,35,10,-3,13,24,21
2020-02-26,11,22,19,-2,28,-24,4,-20,25,16,4,2,17,15,4,13,8,-2,17,18
2020-02-27,16,32,19,17,30,-21,-3,2,19,15,3,19,22,19,18,17,16,4,16,17
2020-02-28,33,77,35,24,36,23,8,38,39,40,5,18,29,43,6,26,22,23,23,21
2020-02-29,19,30,28,1,38,-15,28,-5,12,25,15,39,-6,21,-21,16,6,15,53,48
2020-03-01,6,10,11,-11,38,-7,6,-3,8,11,15,-4,-18,-3,-30,11,-2,5,18,16
2020-03-02,-7,-2,1,-33,-1,-40,-4,-34,1,-11,-9,-14,-13,3,-1,-2,-1,-4,-16,-13
2020-03-03,-3,4,2,-5,6,-20,-1,-10,3,-9,-2,-10,-6,3,-10,-8,2,-9,9,6
2020-03-04,9,14,33,34,34,3,-2,21,15,5,5,-3,10,14,-8,17,4,11,16,18
2020-03-05,2,2,58,-15,22,-30,-10,-17,-1,-3,2,-15,-5,2,-3,7,0,-4,14,12
2020-03-06,0,12,-10,-18,0,-36,-10,-31,2,3,-3,-12,-3,13,-4,5,-13,-18,3,5
2020-03-07,17,24,4,13,17,-17,-2,2,20,22,15,19,17,34,1,25,14,-1,19,26
2020-03-08,19,22,23,-5,34,-8,-3,-21,26,37,24,23,24,28,-4,33,21,39,21,23
2020-03-09,12,10,12,14,25,-28,-2,3,28,14,3,-7,19,17,27,13,11,0,1,13
2020-03-10,12,13,30,23,23,14,1,34,32,17,2,-3,15,27,26,16,16,21,13,15
2020-03-11,17,12,35,44,44,30,-5,48,42,20,8,0,25,19,18,34,16,31,13,19
2020-03-12,1,2,14,-22,26,-24,-11,-11,14,9,-3,-8,-1,11,6,3,10,0,-2,5
2020-03-13,-22,-20,-10,-29,-2,-25,-29,-10,-19,-23,-22,-37,-33,-18,-23,-34,-33,-29,-31,-20
2020-03-14,-44,-48,-34,-36,-24,-30,-45,-36,-44,-46,-46,-52,-56,-34,-43,-39,-52,-34,-57,-45
2020-03-15,-76,-78,-70,-80,-68,-80,-74,-81,-70,-70,-70,-81,-83,-64,-77,-77,-85,-72,-81,-80
2020-03-16,-72,-70,-67,-70,-67,-80,-79,-73,-67,-70,-74,-80,-80,-61,-58,-75,-73,-70,-72,-74
2020-03-17,-73,-74,-65,-71,-71,-75,-81,-70,-65,-71,-71,-82,-82,-58,-58,-75,-79,-72,-72,-78
2020-03-18,-73,-74,-60,-67,-71,-74,-83,-69,-64,-71,-72,-83,-82,-60,-60,-71,-82,-70,-70,-74
2020-03-19,-77,-75,-65,-70,-73,-86,-84,-71,-67,-77,-75,-82,-83,-62,-72,-72,-81,-79,-83,-86
2020-03-20,-79,-78,-69,-75,-77,-81,-85,-77,-74,-75,-77,-85,-86,-73,-74,-79,-84,-79,-78,-80
2020-03-21,-87,-87,-80,-84,-87,-89,-90,-88,-84,-86,-86,-88,-92,-79,-82,-86,-87,-86,-86,-87
2020-03-22,-89,-90,-85,-87,-91,-92,-92,-92,-84,-86,-90,-89,-92,-80,-83,-89,-90,-87,-92,-93
2020-03-23,-77,-77,-67,-73,-74,-82,-86,-76,-67,-74,-80,-84,-85,-64,-63,-72,-79,-71,-79,-80
2020-03-24,-79,-78,-66,-72,-77,-79,-86,-75,-69,-76,-79,-89,-86,-64,-63,-75,-82,-73,-85,-83
2020-03-25,-78,-78,-68,-69,-76,-80,-86,-75,-68,-75,-80,-86,-86,-64,-66,-74,-81,-75,-76,-81
2020-03-26,-78,-77,-70,-72,-80,-82,-87,-76,-71,-75,-81,-86,-86,-65,-64,-75,-83,-76,-77,-80
2020-03-27,-80,-79,-73,-76,-79,-81,-87,-79,-76,-80,-81,-87,-88,-69,-72,-77,-82,-79,-81,-84
2020-03-28,-86,-85,-83,-84,-88,-89,-91,-88,-84,-84,-87,-89,-91,-76,-82,-87,-85,-86,-86,-87
2020-03-29,-89,-88,-87,-88,-90,-93,-92,-92,-84,-84,-90,-91,-92,-79,-84,-90,-90,-88,-90,-92
2020-03-30,-80,-78,-73,-78,-82,-87,-87,-82,-73,-77,-83,-86,-88,-69,-68,-79,-79,-76,-79,-83
2020-03-31,-82,-82,-79,-77,-84,-84,-87,-79,-74,-81,-83,-86,-89,-72,-68,-84,-82,-80,-80,-84
2020-04-01,-81,-79,-77,-73,-82,-83,-87,-78,-73,-79,-85,-86,-87,-70,-69,-83,-80,-79,-77,-82
2020-04-02,-81,-81,-77,-74,-85,-84,-87,-78,-73,-77,-82,-87,-87,-69,-66,-80,-79,-77,-78,-83
2020-04-03,-82,-80,-76,-78,-84,-84,-88,-82,-77,-78,-82,-87,-88,-71,-74,-82,-83,-81,-81,-83
