date,ES,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-02-15,0,0,1,0,2,0,-2,-1,1,0,0,-1,-1,0,-1,0,1,0,1,-1
2020-02-16,-1,1,-3,0,0,1,-2,-1,-1,0,-2,1,0,0,-3,0,-2,0,-1,-2
2020-02-17,3,4,4,4,4,2,2,2,4,5,2,3,4,5,5,3,3,3,13,3
2020-02-18,3,4,5,4,5,3,2,3,5,5,2,7,4,5,4,4,2,4,3,2
2020-02-19,3,3,5,5,5,3,2,3,4,4,2,5,4,5,4,4,2,4,4,3
2020-02-20,3,3,1,4,5,3,1,2,3,3,2,5,3,4,3,4,1,4,3,2
2020-02-21,2,4,1,-10,7,1,-1,2,3,4,0,-17,4,4,3,-8,-2,3,4,1
2020-02-22,2,3,2,0,6,3,-3,0,3,5,2,-3,1,10,3,5,5,3,4,0
2020-02-23,1,3,-1,0,5,3,-12,0,3,6,0,3,2,8,3,2,-2,5,3,0
2020-02-24,-7,-1,3,-16,5,-13,-34,-13,-13,-13,-14,-18,4,-19,-22,-13,5,-12,9,2
2020-02-25,-6,1,4,-30,5,-10,-55,-14,-12,-11,1,7,4,-31,-54,3,3,-10,2,3
2020-02-26,0,-1,5,3,4,-4,-12,-13,-11,2,2,5,4,3,-15,3,2,-6,4,3
2020-02-27,1,-5,3,2,-1,-1,-9,-14,3,3,2,7,3,3,2,2,2,-3,3,2
2020-02-28,-11,-62,3,4,-10,0,-8,-12,3,2,2,6,-12,4,3,2,2,-2,5,2
2020-02-29,-1,-6,2,1,4,-1,-2,-2,0,1,1,10,-2,-1,-1,3,7,0,2,1
2020-03-01,1,3,0,3,6,2,0,1,1,0,2,4,1,2,0,6,2,2,3,2
2020-03-02,-3,-11,4,3,-13,1,1,0,4,1,1,-1,-15,4,4,1,5,3,12,2
2020-03-03,3,3,4,4,5,1,2,2,4,5,2,4,3,4,3,0,2,4,4,3
2020-03-04,3,0,6,6,7,2,1,3,4,3,2,4,3,5,3,3,2,4,5,3
2020-03-05,2,3,-45,2,7,1,1,1,3,3,2,3,3,3,3,2,0,4,3,2
2020-03-06,-1,0,-25,-2,6,-2,-2,-1,1,2,-1,4,1,0,0,-1,-2,2,3,-1
2020-03-07,1,3,-4,1,7,-2,-3,-1,1,1,1,-1,-1,1,2,0,2,-1,2,2
2020-03-08,1,5,-2,1,6,0,-2,1,0,3,0,-1,-1,2,0,5,5,3,2,3
2020-03-09,3,4,3,4,6,0,0,2,5,4,2,2,1,5,4,2,1,3,12,2
2020-03-10,2,4,3,3,6,0,0,2,4,4,1,5,-1,4,3,3,1,3,3,2
2020-03-11,-2,3,4,3,6,-1,0,2,3,-1,0,3,-21,4,2,-9,-2,1,3,1
2020-03-12,-5,1,0,-4,4,-4,-2,-1,0,-4,-2,2,-28,1,0,-13,-6,-1,-1,-2
2020-03-13,-17,-6,-6,-18,1,-19,-21,-5,-8,-20,-24,-3,-37,-5,-12,-20,-71,-13,-8,-9
2020-03-14,-31,-23,-26,-32,-11,-30,-20,-33,-27,-30,-34,-30,-46,-26,-32,-37,-32,-29,-28,-34
2020-03-15,-48,-46,-49,-51,-31,-50,-38,-49,-47,-49,-48,-46,-53,-45,-47,-52,-45,-47,-49,-50
2020-03-16,-52,-51,-45,-51,-44,-46,-50,-50,-48,-49,-54,-52,-65,-48,-46,-45,-56,-45,-41,-50
