date,RE
2020-02-15,-1
2020-02-16,0
2020-02-17,1
2020-02-18,3
2020-02-19,6
2020-02-20,4
2020-02-21,-11
2020-02-22,-9
2020-02-23,-4
2020-02-24,-6
2020-02-25,-3
2020-02-26,5
2020-02-27,-5
2020-02-28,-19
2020-02-29,-12
2020-03-01,-12
2020-03-02,-19
2020-03-03,-17
2020-03-04,-11
2020-03-05,-12
2020-03-06,-25
2020-03-07,-16
2020-03-08,-11
2020-03-09,-13
2020-03-10,-9
2020-03-11,4
2020-03-12,-6
2020-03-13,-21
2020-03-14,-20
2020-03-15,-21
2020-03-16,-37
2020-03-17,-64
2020-03-18,-81
2020-03-19,-82
2020-03-20,-88
2020-03-21,-90
2020-03-22,-94
2020-03-23,-90
2020-03-24,-91
2020-03-25,-91
2020-03-26,-92
2020-03-27,-92
2020-03-28,-92
2020-03-29,-96
2020-03-30,-91
2020-03-31,-94
2020-04-01,-93
2020-04-02,-91
2020-04-03,-93
2020-04-04,-91
2020-04-05,-95
2020-04-06,-91
2020-04-07,-90
2020-04-08,-89
2020-04-09,-90
2020-04-10,-91
2020-04-11,-91
