date,DE,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia
2020-02-15,0,3,1,1,1,0,1,2,0,-2,1,-2,-4,-3,-3,3,-3
2020-02-16,-1,1,1,-2,0,-3,0,0,-2,-1,-2,0,0,-1,-1,-2,-1
2020-02-17,-2,-1,0,1,0,0,1,1,0,-17,2,-15,-14,-18,0,-1,0
2020-02-18,-1,0,1,1,0,-1,0,1,0,-18,1,-14,-15,-18,0,-1,-1
2020-02-19,-1,-1,0,0,0,-2,-1,0,0,-17,1,-15,-15,-18,0,0,-1
2020-02-20,-4,-4,-1,0,-1,-1,-1,-1,-1,-17,-7,-19,-18,-18,0,-1,-1
2020-02-21,-8,-11,-3,0,0,-1,-1,-2,-1,-17,-15,-22,-23,-19,-1,-1,-2
2020-02-22,-3,-3,-1,1,-1,-3,-1,-1,-1,-4,-5,-6,-10,-3,0,-2,2
2020-02-23,-3,0,-1,0,0,-4,-2,-2,-3,-1,-5,-2,-4,-4,-1,-3,-2
2020-02-24,-20,-26,-23,0,-1,-1,-2,-18,-2,0,-41,-39,-46,0,-1,-1,-3
2020-02-25,-13,-23,-26,1,0,0,-1,-12,0,-1,-17,-28,-28,0,0,-1,-2
2020-02-26,-5,-18,-17,0,0,0,-1,-2,-1,-1,-4,-6,-5,-1,-1,0,-2
2020-02-27,-4,-17,-16,0,0,-1,-1,-1,-1,1,-1,-2,-4,1,0,-1,-2
2020-02-28,-5,-17,-16,0,0,-1,-1,0,0,1,-1,-2,-2,0,-1,-1,-2
2020-02-29,-1,-4,-3,2,1,0,1,1,1,2,0,-2,-3,1,2,2,3
2020-03-01,1,-1,1,1,2,-1,1,0,2,6,0,1,2,3,3,2,1
2020-03-02,0,-1,0,1,0,1,-13,1,1,1,1,1,0,2,1,0,1
2020-03-03,0,-1,0,0,0,0,-14,0,0,1,-1,0,-2,-1,1,-1,-1
2020-03-04,0,-1,0,0,1,-1,-14,0,0,1,-1,-1,-2,0,1,-1,-2
2020-03-05,0,-2,-1,0,0,-1,-14,-1,0,2,-1,-1,-3,2,1,-1,-1
2020-03-06,-1,-3,-1,-2,-1,-2,-15,0,-1,0,-2,-1,-3,0,-1,-2,-2
2020-03-07,0,0,0,0,0,3,-1,1,2,3,0,-1,-4,0,2,3,-1
2020-03-08,1,1,1,0,6,-1,0,0,2,8,-1,0,0,4,4,1,2
2020-03-09,-1,-2,-1,-1,-1,0,-16,0,0,0,0,0,-1,0,0,-1,-1
2020-03-10,-1,-2,-1,-2,-1,-1,-16,-2,-1,0,-2,-2,-4,-1,0,-2,-2
2020-03-11,-1,-3,-2,-3,0,-2,-16,-2,-1,0,-3,-2,-3,-1,0,-1,-3
2020-03-12,-2,-4,-3,-5,-2,-4,-18,-3,-2,0,-3,-2,-5,0,-1,-3,-2
2020-03-13,-4,-6,-5,-9,-3,-7,-20,-3,-4,-1,-4,-4,-7,-2,-4,-4,-3
2020-03-14,-3,-5,-4,-4,0,-4,-5,-3,-2,3,-4,-4,-8,1,1,-1,0
2020-03-15,-5,-7,-2,-12,0,-8,-8,-6,-6,4,-7,-5,-5,2,3,-7,1
2020-03-16,-18,-13,-20,-20,-8,-21,-28,-20,-20,-14,-19,-18,-20,-12,-13,-22,-7
2020-03-17,-25,-27,-26,-34,-14,-27,-37,-28,-26,-19,-27,-24,-26,-18,-17,-28,-20
2020-03-18,-30,-31,-31,-39,-24,-32,-41,-33,-30,-23,-32,-29,-31,-22,-21,-33,-23
2020-03-19,-33,-35,-34,-43,-28,-36,-45,-36,-34,-25,-36,-33,-35,-25,-24,-36,-25
2020-03-20,-36,-37,-36,-45,-30,-38,-46,-38,-37,-28,-38,-35,-37,-30,-28,-38,-30
2020-03-21,-31,-34,-40,-32,-20,-30,-35,-31,-27,-21,-30,-32,-40,-23,-18,-28,-26
2020-03-22,-34,-39,-43,-35,-21,-35,-37,-37,-31,-24,-33,-35,-39,-25,-18,-31,-26
2020-03-23,-41,-42,-43,-51,-35,-43,-50,-43,-40,-34,-41,-40,-43,-36,-31,-41,-34
2020-03-24,-43,-43,-45,-53,-38,-46,-52,-46,-43,-36,-44,-43,-46,-38,-33,-43,-36
2020-03-25,-43,-44,-46,-54,-38,-46,-52,-46,-43,-36,-44,-43,-47,-39,-34,-43,-37
2020-03-26,-44,-45,-47,-53,-38,-46,-52,-47,-44,-36,-44,-44,-48,-38,-34,-43,-37
2020-03-27,-44,-45,-46,-53,-38,-46,-52,-46,-44,-37,-44,-43,-47,-39,-35,-43,-38
2020-03-28,-33,-35,-38,-36,-23,-35,-38,-34,-32,-26,-33,-34,-40,-26,-20,-31,-25
2020-03-29,-39,-43,-43,-44,-31,-40,-42,-41,-36,-32,-38,-39,-39,-34,-27,-36,-32
2020-03-30,-43,-44,-45,-53,-38,-47,-51,-45,-45,-37,-42,-42,-45,-38,-34,-44,-36
2020-03-31,-43,-44,-45,-53,-38,-46,-51,-45,-44,-36,-43,-43,-46,-39,-34,-44,-37
2020-04-01,-43,-44,-45,-53,-38,-48,-52,-45,-45,-36,-43,-42,-46,-38,-33,-44,-36
2020-04-02,-43,-45,-46,-54,-38,-48,-52,-46,-45,-36,-44,-43,-47,-37,-33,-45,-36
2020-04-03,-44,-45,-46,-53,-38,-48,-51,-45,-45,-37,-43,-43,-46,-39,-34,-44,-37
2020-04-04,-31,-33,-37,-35,-22,-35,-36,-32,-30,-25,-31,-32,-37,-25,-19,-31,-23
2020-04-05,-30,-36,-39,-33,-17,-32,-34,-34,-29,-18,-29,-32,-34,-16,-12,-29,-18
2020-04-06,-44,-45,-46,-53,-39,-47,-50,-47,-46,-37,-44,-42,-44,-36,-35,-45,-37
2020-04-07,-45,-46,-47,-53,-40,-48,-51,-48,-46,-37,-46,-43,-46,-37,-35,-45,-38
2020-04-08,-45,-46,-47,-53,-40,-48,-51,-48,-47,-38,-46,-43,-46,-37,-35,-45,-38
2020-04-09,-47,-49,-49,-54,-42,-50,-52,-50,-48,-40,-47,-46,-48,-39,-38,-47,-41
2020-04-10,-86,-88,-88,-85,-83,-85,-87,-86,-86,-81,-86,-85,-85,-84,-81,-85,-84
2020-04-11,-29,-34,-35,-31,-18,-31,-34,-32,-27,-20,-30,-32,-37,-18,-14,-27,-17
