date,MU,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Rivière du Rempart District,Rivière Noire District,Rodrigues District,Savanne District
2020-02-15,3,1,-4,17,2,15,8,-3,-2,NA,0
2020-02-16,1,-4,-4,-5,1,7,1,-8,-4,NA,3
2020-02-17,-4,-11,-9,-8,-4,-1,-5,-7,-1,0,-6
2020-02-18,-1,-9,-9,-5,-9,10,-6,-11,-5,0,0
2020-02-19,-3,-19,-15,-13,-3,2,6,-14,0,0,-8
2020-02-20,-2,-18,-14,-10,5,4,-7,4,1,0,7
2020-02-21,-36,-29,-29,-50,-26,-35,-56,-26,-20,0,-7
2020-02-22,-1,-1,-4,1,2,8,-2,-1,1,NA,-2
2020-02-23,-3,-2,-8,-13,3,0,-4,-3,-6,NA,-7
2020-02-24,-4,-6,-2,-3,-4,-4,-4,-8,-5,0,-7
2020-02-25,0,-1,1,1,0,2,-2,-4,-3,0,3
2020-02-26,0,1,7,6,2,-1,-2,-2,-6,0,-7
2020-02-27,3,5,3,6,1,5,2,3,0,0,-5
2020-02-28,2,0,3,15,50,6,0,-6,-8,0,12
2020-02-29,17,17,12,31,74,30,9,9,-2,NA,9
2020-03-01,17,10,11,11,72,21,17,5,1,NA,1
2020-03-02,7,10,12,2,47,8,4,-2,-3,0,3
2020-03-03,7,6,3,4,51,6,6,0,-2,0,1
2020-03-04,4,8,6,2,50,1,5,0,-5,0,-3
2020-03-05,5,5,0,5,49,6,3,2,-1,0,6
2020-03-06,-2,-7,-8,4,47,0,1,-9,-10,0,5
2020-03-07,1,0,-2,8,47,10,-2,-5,-13,NA,-5
2020-03-08,4,-8,5,4,65,10,-9,-7,-16,NA,-8
2020-03-09,-2,-3,-5,-7,40,-1,-7,-7,-8,0,-3
2020-03-10,-6,-9,-3,-22,37,-6,-9,-12,-8,0,1
2020-03-11,5,10,15,-2,53,4,-1,8,3,0,0
2020-03-12,-24,-11,-9,-38,26,-26,-58,-10,-19,0,10
2020-03-13,-28,-32,-20,-32,17,-27,-38,-27,-32,0,-23
2020-03-14,-3,5,-7,3,44,7,-14,-11,-17,NA,-11
2020-03-15,2,8,-4,-5,45,5,-8,-10,-13,NA,-8
2020-03-16,-3,-5,-3,-8,35,-2,-7,-10,-10,0,0
2020-03-17,-11,-16,-8,-20,27,-8,-19,-19,-17,0,-10
2020-03-18,-8,-8,-8,-9,31,-8,-10,-13,-14,0,-9
2020-03-19,-15,-9,6,-31,36,-17,-32,-17,-11,0,-20
2020-03-20,-75,-69,-62,-81,-58,-78,-87,-78,-77,0,-63
2020-03-21,-83,-79,-78,-88,-70,-84,-91,-86,-85,0,-76
2020-03-22,-90,-93,-96,-100,-81,-93,-92,-92,-94,0,-100
2020-03-23,-83,-83,-77,-90,-73,-85,-93,-83,-83,0,-79
2020-03-24,-88,-86,-82,-92,-82,-91,-94,-89,-89,0,-90
2020-03-25,-95,-100,-100,-100,-97,-97,-97,-96,-95,0,0
2020-03-26,-92,-96,-96,-98,-89,-95,-94,-90,-93,0,0
2020-03-27,-92,-94,-92,-98,-87,-94,-93,-93,-93,0,0
2020-03-28,-91,-91,-93,-97,-85,-93,-92,-93,-92,0,-84
2020-03-29,-89,-92,-94,-97,-81,-91,-88,-93,-92,0,-91
2020-03-30,-88,-86,-87,-96,-79,-91,-91,-88,-89,0,-88
2020-03-31,-88,-91,-90,-96,-80,-90,-92,-88,-90,0,-76
2020-04-01,-88,-90,-86,-96,-82,-91,-93,-88,-89,0,-89
2020-04-02,-78,-75,-71,-85,-68,-80,-89,-77,-79,0,-66
2020-04-03,-83,-79,-80,-87,-76,-84,-90,-82,-84,0,-72
2020-04-04,-82,-81,-81,-84,-74,-83,-89,-85,-83,0,-77
2020-04-05,-91,-94,-92,-97,-88,-95,-92,-94,-94,0,-100
2020-04-06,-80,-76,-79,-89,0,-82,-89,-78,-82,0,0
2020-04-07,-80,-75,0,-84,0,-82,-89,-79,-85,0,0
2020-04-08,-82,-78,0,-86,0,-84,-90,-81,-82,0,0
2020-04-09,-82,-77,0,-89,0,-84,-90,-82,-84,0,0
2020-04-10,-84,-78,-77,-88,-75,-85,-89,-86,-86,0,0
2020-04-11,-83,-79,-77,-85,-72,-85,-88,-84,-85,0,0
