date,FJ
2020-02-15,4
2020-02-16,2
2020-02-17,9
2020-02-18,8
2020-02-19,8
2020-02-20,9
2020-02-21,11
2020-02-22,5
2020-02-23,4
2020-02-24,9
2020-02-25,9
2020-02-26,8
2020-02-27,9
2020-02-28,12
2020-02-29,8
2020-03-01,6
2020-03-02,11
2020-03-03,11
2020-03-04,10
2020-03-05,10
2020-03-06,14
2020-03-07,8
2020-03-08,8
2020-03-09,10
2020-03-10,6
2020-03-11,9
2020-03-12,8
2020-03-13,11
2020-03-14,7
2020-03-15,4
2020-03-16,9
2020-03-17,7
2020-03-18,7
2020-03-19,7
2020-03-20,-3
2020-03-21,-11
2020-03-22,-2
2020-03-23,-8
2020-03-24,-10
2020-03-25,-15
2020-03-26,-17
2020-03-27,-15
2020-03-28,-15
2020-03-29,-6
2020-03-30,-22
2020-03-31,-26
2020-04-01,-23
2020-04-02,-24
2020-04-03,-41
2020-04-04,-32
2020-04-05,-17
2020-04-06,-43
2020-04-07,-42
2020-04-08,-73
2020-04-09,-50
2020-04-10,-71
2020-04-11,-36
