"Category" "Mean" "Median" "Standard deviation"
"Grocerypharmacy" "0.092" "0.051" "0.089"
"Parks" "0.185" "0.193" "0.139"
"Residential" "0.154" "0.05" "0.159"
"Retailrecreation" "0.065" "0.019" "0.096"
"Transitstations" "0.094" "0.059" "0.093"
"Workplace" "0.028" "0.016" "0.036"
