"Category" "Mean" "Median" "Standard deviation"
"grocerypharmacy" "-4.2" "-4" "-3.2"
"parks" "-2" "-2" "-2.8"
"residential" "-2.3" "-2" "-2.4"
"retailrecreation" "-1.6" "-2" "-2.4"
"transitstations" "-1.7" "-2" "-2.6"
"workplace" "-2.6" "-3" "-2.5"
