"country","grocerypharmacy","parks","residential","retailrecreation","transitstations","workplace","avg"
"KG",0.89464,"0.89752",0.92466,0.94305,0.93325,0.93372,0.925864
"KR",0.17972,"-0.73057",0.94998,0.92838,0.91827,0.92391,0.780052
"KW",0.91512,"0.94859",0.96578,0.97162,0.96553,0.93341,0.950292
"KZ",0.78478,"0.79357",0.92162,0.92473,0.77583,0.89559,0.86051
"LA",0.92939,"0.92771",0.97003,0.97301,0.97483,0.77589,0.92463
"LB",0.91076,"0.90953",0.96456,0.96542,0.98223,0.97414,0.959422
"LK",0.8417,"0.87665",0.95129,0.93543,0.91127,0.91362,0.910662
"LU",0.77868,"0.79164",NA,0.98496,NA,NA,0.88182
"LY",0.79842,"0.78661",0.93493,0.93678,0.96309,0.86276,0.899196
"MD",0.93037,"0.92743",0.95605,0.96218,0.96654,0.96298,0.955624
"ML",0.9213,"0.5889",0.9656,0.93715,0.95931,0.67346,0.891364
"MM",0.73864,"0.79204",0.93522,0.88355,0.87297,0.72883,0.831842
"MN",0.05429,"0.67235",NA,0.86096,0.8875,0.81392,0.6541675
"MU",0.95819,"0.96681",0.96336,0.98017,0.97403,0.95498,0.966146
"MX",0.89241,"0.95286",0.94622,0.95603,0.96009,0.89989,0.930928
"MY",0.88844,"0.94161",0.94878,0.95516,0.94787,0.94102,0.936254
"MZ",0.79879,"0.95465",0.89984,0.93926,0.95583,0.43188,0.80512
"NA",0.75018,"0.90118",0.90503,0.88455,0.93944,0.86307,0.868454
"NE",0.8292,"0.9427",0.89209,0.94769,0.94998,0.79007,0.881806
"NG",0.84042,"0.88936",0.91396,0.91256,0.89091,0.85585,0.88274
"NI",0.49755,"0.74865",0.66708,0.72421,0.70486,0.31467,0.581674
"NL",0.58058,"-0.6037",0.97003,0.9776,0.99204,0.96221,0.896492
"NO",0.40457,"-0.54582",0.95844,0.92454,0.98827,0.9577,0.846704
"NZ",0.76004,"0.98284",0.92724,0.94105,0.93289,0.82084,0.876412
"OM",0.9547,"0.97843",0.9753,0.97822,0.98592,0.89573,0.957974
"PA",0.82842,"0.94986",0.92768,0.92794,0.91548,0.88109,0.896122
"PE",0.91095,"0.97003",0.95967,0.96796,0.96572,0.95345,0.95155
"PG",0.28815,"0.92628",NA,0.78748,0.95099,0.01335,0.5099925
"PH",0.81676,"0.90749",0.89265,0.89532,0.91572,0.85091,0.874272
"PK",0.82672,"0.78814",0.8981,0.88981,0.86123,0.87147,0.869466
"PL",0.77566,"0.83939",0.96875,0.96069,0.97635,0.94732,0.925754
"PR",0.76251,"0.9654",0.95242,0.96628,0.96508,0.94109,0.917476
"PT",0.87561,"0.9401",0.97239,0.98324,0.98234,0.9737,0.957456
"PY",0.93143,"0.98365",0.96137,0.97522,0.981,0.88366,0.946536
"QA",0.81882,"0.88066",0.95355,0.93847,0.95471,0.86743,0.906596
"RO",0.79444,"0.87442",0.9068,0.925,0.93022,0.89832,0.890956
"RW",0.92357,"0.68553",0.93602,0.9471,0.91143,0.90859,0.925342
"SA",0.85352,"0.93308",0.95287,0.95323,0.98122,0.92352,0.932872
"SE",0.38296,"-0.80493",0.93593,0.92288,0.98033,0.91124,0.826668
"SG",0.41908,"0.82336",0.91787,0.90838,0.93993,0.7342,0.783892
"SI",0.88719,"0.75747",0.95667,0.97781,0.96665,0.97063,0.95179
"SK",0.6861,"0.40477",0.9429,0.97547,0.98393,0.9652,0.91072
"SV",0.80556,"0.93292",0.91063,0.92103,0.93873,0.88926,0.893042
"TH",0.88203,"0.9732",0.97659,0.96521,0.9833,0.93836,0.949098
"TR",0.67512,"0.77388",0.92611,0.93108,0.93456,0.89079,0.871532
"TT",0.55501,"0.94131",0.94862,0.93551,0.96006,0.92799,0.865438
"TW",NA,"0.24382",0.70131,0.89804,0.94614,-0.26033,0.57129
"TZ",0.47389,"0.86447",0.86573,0.92333,0.79694,0.81459,0.774896
"UG",0.84855,"0.96699",0.9116,0.91663,0.93941,0.81092,0.885422
"US",0.43281,"0.32973",0.9493,0.92088,0.9623,0.9497,0.842998
"UY",0.93168,"0.97717",0.97675,0.9839,0.98016,0.88051,0.9506
"VE",0.93957,"0.98199",0.97872,0.97803,0.98372,0.93986,0.96398
"VN",0.90615,"0.94906",0.9503,0.93035,0.94509,0.55668,0.857714
"ZA",0.64385,"0.90664",0.86682,0.83797,0.8997,0.85919,0.821506
"ZM",0.63621,"0.40466",0.91551,0.78712,0.93492,0.43056,0.740864
"ZW",0.77829,"0.9532",0.95287,0.9246,0.9463,0.8674,0.893892
