"country" "grocerypharmacy" "parks" "residential" "retailrecreation" "transitstations" "workplace" "avg"
"AE" 63.24007 "21.34365" 72.08527 31.23981 16.33543 50.24025 46.628166
"AF" 42.18641 "61.23188" 57.42359 29.52411 23.9236 36.64541 37.940624
"AO" 39.42999 "34.4299" 49.42962 18.42984 27.43 40.42963 35.029816
"AR" 66.00005 "21.52534" 72.99993 20.63895 32.99971 47.99975 48.127678
"AT" 73.94745 "88.35731" 76.50421 28.07283 32.81104 42.59738 50.786582
"AU" 69.42988 "48.28369" 53.4297 34.94634 39.53318 44.36659 48.341138
"AW" 39.95341 "24.38699" NA 16.30882 16.46082 17.0346 22.4394125
"BA" 69.27967 "97.547" 87.99979 39.20599 50.55423 53.02327 60.01259
"BB" 34.04382 "72.2921" NA 33.17361 NA NA 33.608715
"BD" 40.63906 "61.23969" 71.09586 33.14315 33.40431 38.83093 43.422662
"BE" 65.28702 "69.95588" 65.71024 19.35157 25.71034 38.71017 42.953868
"BF" 73.24033 "80.23982" 78.23994 63.43756 50.24021 86.23998 70.279604
"BG" 63.71277 "101.25432" 66.07558 33.372 32.99359 40.9868 47.428148
"BO" 25.16358 "21.67334" 34.08587 24.43102 22.18657 21.81707 25.536822
"BR" 71.19001 "27.14518" 60.19005 24.30898 24.25848 40.18999 44.027502
"BW" 55.29608 "68.17406" 65.00009 32.78677 26.73225 48.00001 45.56304
"BZ" 46.96075 "41.65516" NA 21.97875 NA NA 34.46975
"CA" 70.70967 "63.7097" 68.70975 31.71 22.70963 38.70984 46.509778
"CH" 91.94977 "110.80733" 65.94973 16.39856 33.95026 39.95007 49.639678
"CL" 42.47173 "15.22627" 50.99869 12.55297 16.84242 30.53402 30.679966
"CM" 54.18976 "53.19033" 62.19009 45.18998 49.18962 65.18967 55.189824
"CO" 30.13571 "17.02825" 56.10005 24.6314 31.29539 37.63424 35.959358
"CR" 37.99991 "18.00023" 69.00018 17.79035 17.5822 32.99993 35.074514
"CZ" 89.70973 "96.60952" 78.71019 27.68462 48.71037 58.71014 60.70501
"DE" 78.57 "113.62842" 68.57001 43.19433 35.30909 49.57029 55.042744
"DK" 83.71383 "281.7234" 77.18943 59.57708 40.22494 33.57339 58.855734
"DO" 27.71 "18.10642" 57.70964 12.1861 12.0235 18.87132 25.700112
"EC" 40.05299 "21.47536" 62.99965 22.63881 19.63589 23.99999 33.865466
"EE" 60.95021 "93.5082" 70.94988 28.63442 37.94998 45.95021 48.88694
"EG" 81.99963 "58.03458" 84.02406 33.00014 38.00021 55.03612 58.412032
"ES" 51.23983 "33.2969" 69.23996 17.83283 22.50222 32.23986 38.61094
"FI" 73.48038 "180.82358" 82.47965 39.48009 36.48012 60.48017 58.480082
"FR" 85.07429 "55.53436" 72.23997 39.18241 41.88051 40.2401 55.723456
"GA" 72.71008 "65.82207" 67.71036 54.8597 46.70995 62.71015 60.940048
"GB" 40.43378 "44.02524" 52.43036 20.97253 19.64435 15.6303 29.822264
"GH" 45.71012 "53.13522" 63.7103 31.71015 27.8156 60.70975 45.931184
"GR" 74.25813 "167.11359" 42.93931 36.48308 24.70747 35.83466 42.84453
"GT" 43.31 "41.37175" 71.00004 32.23939 30.03306 35.9998 42.516458
"HK" 82.73782 "74.40719" 68.72612 59.66325 55.62395 66.86753 66.723734
"HN" 53.42837 "52.23915" 73.65227 25.54908 34.16185 31.15578 43.58947
