"country" "grocerypharmacy" "parks" "residential" "retailrecreation" "transitstations" "workplace" "avg"
"AE" 1 "0" 0 0 0 0 0.2
"AF" 1 "2" 1 1 0 1 0.8
"AO" 0 "0" -1 0 -1 -1 -0.6
"AR" 0 "0" 0 0 0 0 0
"AT" 2 "0" 0 0 0 0 0.4
"AU" 3 "0" 0 0 0 0 0.6
"AW" 0 "0" NA 0 0 0 0
"BA" 3 "4" 0 0 0 0 0.6
"BB" 1 "0" NA 0 NA NA 0.5
"BD" 0 "0" 0 0 0 0 0
"BE" 1 "3" 0 0 0 0 0.2
"BF" 0 "0" 0 0 0 0 0
"BG" 1 "1" 0 0 0 0 0.2
"BO" 4 "2" 2 2 2 2 2.4
"BR" 3 "3" 2 2 2 2 2.2
"BW" 1 "1" 0 0 0 0 0.2
"BZ" 6 "0" NA 2 NA NA 4
"CA" 3 "1" 0 0 0 0 0.6
"CH" 4 "30" 0 0 0 0 0.8
"CL" 1 "0" 0 0 0 1 0.4
"CM" 1 "0" 0 0 0 0 0.2
"CO" 0 "0" 0 0 0 0 0
"CR" 0 "0" 0 0 0 2 0.4
"CZ" 5 "0" 0 0 0 0 1
"DE" NA "30" 0 0 0 0 0
"DK" 2 "-22" 0 0 0 0 0.4
"DO" 0 "0" 0 0 0 0 0
"EC" 0 "0" 0 0 0 0 0
"EE" 2 "-24" 0 0 0 0 0.4
"EG" 0 "0" 0 0 0 0 0
"ES" 4 "0" 0 0 0 0 0.8
"FI" 2 "-24" 0 0 0 0 0.4
"FR" 1 "0" 0 0 0 0 0.2
"GA" 0 "0" 0 0 0 0 0
"GB" 1 "1" 0 0 0 0 0.2
"GH" 0 "0" 0 0 0 0 0
"GR" 3 "0" 0 0 0 1 0.8
"GT" 0 "0" 0 0 0 0 0
"HK" -5 "-5" 0 -2 0 0 -1.4
"HN" 0 "0" 0 0 0 0 0
"HR" 2 "2" 0 0 0 0 0.4
"HU" 4 "5" 1 1 0 0 1.2
"ID" 0 "2" 0 0 0 0 0
"IE" 2 "1" 0 0 0 0 0.4
"IL" 2 "0" 0 0 0 0 0.4
"IN" 0 "0" 0 0 0 0 0
"IQ" 0 "0" 0 0 0 0 0
"IT" 1 "0" 0 0 0 0 0.2
"JM" 3 "0" 0 0 0 0 0.6
"JO" 0 "0" 0 0 0 0 0
"JP" 25 "19" 0 19 2 0 9.2
"KE" 0 "0" 0 0 0 0 0
"KG" 0 "0" 0 0 0 0 0
"KR" -27 "-24" -24 -25 -25 -25 -25.2
"KW" 1 "0" 0 0 0 0 0.2
"KZ" 3 "1" 0 0 0 0 0.6
"LA" 0 "0" 0 0 0 0 0
"LB" 0 "0" 0 0 0 0 0
"LK" 0 "0" 0 0 0 0 0
"LU" 2 "3" NA 0 NA NA 1
"LY" 3 "1" 0 1 0 1 1
"MD" 0 "0" 0 0 0 0 0
"ML" 1 "0" 0 0 0 0 0.2
"MM" 0 "0" 0 0 0 0 0
"MN" 10 "11" NA 10 -1 10 7.25
"MU" 0 "0" 0 0 0 0 0
"MX" 0 "0" 0 0 0 0 0
"MY" 0 "0" 0 0 0 0 0
"MZ" 0 "0" 0 0 0 2 0.4
"NA" 0 "0" 0 0 0 0 0
"NE" 3 "0" 0 0 0 2 1
"NG" 3 "0" 0 0 0 1 0.8
"NL" 6 "30" 0 0 0 0 1.2
"NO" 1 "30" 0 0 0 0 0.2
"NZ" 0 "0" 0 0 0 0 0
"OM" 0 "0" 0 0 0 0 0
"PA" 1 "0" 0 0 0 2 0.6
"PE" 1 "0" 0 0 0 0 0.2
"PG" 0 "-2" NA 0 0 0 0
"PH" 4 "0" 2 0 2 2 2
"PK" 0 "0" 0 0 0 -1 -0.2
"PL" 2 "0" 0 0 0 0 0.4
"PR" 3 "0" 1 1 1 2 1.6
"PT" 0 "0" 0 0 0 0 0
"PY" 0 "0" 0 0 0 1 0.2
"QA" 0 "0" 0 0 0 0 0
"RO" 4 "1" 1 0 0 0 1
"RW" 1 "4" 1 1 1 2 1.2
"SA" 3 "0" 0 0 0 0 0.6
"SE" 6 "-24" 0 0 0 0 1.2
"SG" -24 "0" 0 0 0 0 -4.8
"SI" 1 "5" 0 0 0 0 0.2
"SK" 2 "2" 0 0 0 0 0.4
"SV" 4 "1" 2 1 1 2 2
"TH" 0 "0" 0 0 0 0 0
"TR" 1 "1" 0 0 0 0 0.2
"TT" 0 "0" 0 0 0 0 0
"TW" NA "20" 12 4 9 10 8.75
"TZ" 5 "1" 1 0 0 4 2
"UG" 2 "0" 1 0 0 1 0.8
"US" 3 "0" 0 0 0 0 0.6
"UY" 2 "0" 0 0 0 2 0.8
"VE" 0 "0" 0 0 0 0 0
"VN" 0 "0" 0 0 0 0 0
"ZA" 9 "1" 0 0 0 1 2
"ZM" 0 "0" 0 0 0 0 0
"ZW" 0 "0" 0 0 0 0 0
