g1name,g2name,dist,cosinedist
ABW,AFG,12603366.2380462,0.281495076333495
ABW,AGO,9253537.4481379,0.245539907550687
ABW,ARE,12462453.5863997,0.278068701942524
ABW,ARG,3826786.17327052,0.362119589362409
ABW,AUS,13696719.6604432,0.722092697996594
ABW,AUT,8196060.08093937,0.240018858842383
ABW,BEL,7704479.22553275,0.400712753228544
ABW,BFA,6996051.41035562,0.384629551646776
ABW,BGD,15073009.2890218,0.21968085078131
ABW,BGR,9227972.13524987,0.318424022806069
ABW,BHR,12268327.7873273,0.403417655662218
ABW,BIH,8690758.33316338,0.402565115726636
ABW,BLZ,1980471.51055098,0.102594935060168
ABW,BOL,2506309.52711416,0.32161008270886
ABW,BRA,1065726.86826402,0.199035753572066
ABW,BRB,1114658.66243322,0.163922903829819
ABW,BWA,10508723.665499,0.209888973030981
ABW,CAN,3462067.7926702,0.617849979444849
ABW,CHE,7924715.16513465,1.07411761101846
ABW,CHL,3328231.560408,0.247377436723724
ABW,CMR,8642208.88719115,0.379669665893919
ABW,COL,125703.87658967,0.359039870070164
ABW,CRI,1402997.68853791,0.316658614915179
ABW,CZE,8374645.0481693,0.693324264107351
ABW,DEU,7936135.83594956,1.40775261491499
ABW,DNK,8111422.88045561,1.59953987386998
ABW,DOM,578263.50480502,0.422694176207811
ABW,ECU,1504860.35492373,0.407226973566339
ABW,EGY,9732792.02350496,0.237307189313767
ABW,ESP,5619851.52473382,0.33641694770032
ABW,EST,8923639.55410344,1.21830888033372
ABW,FIN,8725198.65542578,1.67069232457685
ABW,FRA,964387.89060511,0.272773576066304
ABW,GAB,8784342.03720371,0.291999927226018
ABW,GBR,7069476.01710808,0.390070627450978
ABW,GHA,7280166.39764982,0.31089412458263
ABW,GRC,9085855.26563534,0.561359656192
ABW,GTM,1989301.8135828,0.284636992676637
ABW,HKG,16076393.1342069,0.310820231484374
ABW,HND,1439489.97320491,0.222019679082734
ABW,HRV,8511091.9592474,0.366715506762395
ABW,HUN,8695004.72033879,0.625904161433681
ABW,IDN,16424846.0493456,0.15322135295056
ABW,IND,13530657.981391,0.226257488494856
ABW,IRL,6845556.01997548,0.568215429568751
ABW,IRQ,10917048.2231386,0.334595657323881
ABW,ISR,10596242.2462346,0.384656602959055
ABW,ITA,7974103.96043552,0.243070862712913
ABW,JAM,886400.9898587,0.119608926088315
ABW,JOR,10664385.7146162,0.366691927099575
ABW,JPN,12743822.4073895,1.70141616281849
ABW,KAZ,10765543.4777011,0.205089275194975
ABW,KEN,11405488.2809654,0.196715555053483
ABW,KGZ,12707023.0068516,0.325824205208883
ABW,KOR,14004986.9110455,1.47438474435949
ABW,KWT,11781120.8447782,0.336295077275895
ABW,LAO,16009512.9863365,0.373015516299255
