g1name,g2name,dist,cosinedist
ABW,LBN,10607401.4513756,0.365026858052938
ABW,LBY,8289786.93507191,0.251394764265289
ABW,LKA,15861496.6237626,0.155679710302917
ABW,LUX,7920111.24868125,0.301672125162402
ABW,MDA,9447693.78088404,0.356690628556456
ABW,MEX,1985786.27610252,0.330375996706783
ABW,MLI,6215352.9963878,0.470994794238747
ABW,MMR,15250936.9480212,0.226901609293544
ABW,MNG,12738952.4144039,0.603601788516237
ABW,MOZ,11429998.8669728,0.470324866661332
ABW,MUS,14337992.3690138,0.215990658594301
ABW,MYS,17611114.9639766,0.303152449602506
ABW,NER,7548111.69745962,0.230584805006748
ABW,NGA,7924897.32170925,0.21260332217536
ABW,NIC,1432786.46758467,0.695283482257417
ABW,NLD,166344.84365465,1.38850604129042
ABW,NOR,7649174.53668604,1.4410073949498
ABW,NZL,11427754.1192599,0.233983525702131
ABW,OMN,12750553.3547853,0.384563221590417
ABW,PAK,12945409.4637422,0.203953731762868
ABW,PAN,908115.8294493,0.142936771685945
ABW,PER,1502376.06428727,0.384580959877111
ABW,PHL,16074413.5829392,0.153077978821253
ABW,PNG,14933925.0461683,1.05333955474956
ABW,POL,8501216.43469099,0.290780814532183
ABW,PRI,647683.46087585,0.082674118078151
ABW,PRT,4823399.15830981,0.332908000354452
ABW,PRY,3675500.0244804,0.379635215437135
ABW,QAT,12328249.6653891,0.239228366629043
ABW,ROU,9020760.01601573,0.182931171209283
ABW,RWA,11016255.8672121,0.405539398702518
ABW,SAU,10724868.5754201,0.319749974511336
ABW,SGP,18308124.0774604,0.199553583280281
ABW,SLV,1915548.10454172,0.181638331857568
ABW,SVK,8734075.19562703,0.591302101636718
ABW,SVN,8494009.07987992,0.381843191899502
ABW,SWE,8303850.32211161,1.67816269685034
ABW,THA,16172413.7238873,0.370195294810725
ABW,TTO,909716.02694975,0.31961872645388
ABW,TUR,9581028.49419999,0.191259823799981
ABW,TWN,15617500.5033994,1.5755679844107
ABW,TZA,11121883.570547,0.313826529630623
ABW,UGA,11048874.0526826,0.251791537784732
ABW,URY,4917348.6486181,0.387531822177225
ABW,USA,1762610.29619256,0.677696023523822
ABW,VEN,29594.91569313,0.387165090239293
ABW,VNM,15984185.7919166,0.448723836228922
ABW,ZAF,10315787.0288879,0.127560974831647
ABW,ZMB,10514741.6652647,0.656604906926532
ABW,ZWE,10961013.699712,0.248369599387687
AFG,ABW,12603366.2380462,0.281495076333495
AFG,AGO,5870943.97278242,0.360960577625868
AFG,ARE,624789.70001032,0.430901220234986
AFG,ARG,13662428.641883,0.527810916901119
AFG,AUS,7636943.64010198,0.67320719655987
AFG,AUT,3845260.16992671,0.269305746318195
AFG,BEL,4636289.54272887,0.333316986665846
AFG,BFA,6306734.68440761,0.507777038275659
AFG,BGD,1736048.20441125,0.303748807075847
AFG,BGR,2915599.58328915,0.284458334910405
AFG,BHR,1083453.38498826,0.557687382051988
AFG,BIH,3638389.52103948,0.340842457155795
AFG,BLZ,13198631.9607111,0.256901059359435
AFG,BOL,13645652.2738183,0.482607108836992
AFG,BRA,10874344.5187681,0.322015706449235
AFG,BRB,11759184.5126834,0.35303273021067
AFG,BWA,6527871.9638197,0.202043754667151
AFG,CAN,6309995.97124593,0.430959883167796
AFG,CHE,4345751.76964256,0.840057103832829
AFG,CHL,14731334.9977926,0.416573616543343
AFG,CMR,5102959.00225723,0.532804280200526
AFG,COL,12715347.7747574,0.52701156220713
AFG,CRI,13662802.114308,0.478733850902566
AFG,CZE,3740777.57998102,0.4850956711825
AFG,DEU,4034716.1005702,1.16737325153526
AFG,DNK,4099322.54774101,1.36920545861459
AFG,DOM,11981475.5215941,0.584350839308031
AFG,ECU,14037464.2010786,0.569675349299932
AFG,EGY,2460811.02597699,0.388942943244893
AFG,ESP,4943411.49320168,0.486610851194258
AFG,EST,3487937.44420884,1.00534143627924
AFG,FIN,3627110.42792149,1.44630029751777
AFG,FRA,4459781.86979765,0.401992663614649
AFG,GAB,5850484.69889853,0.438723469511263
AFG,GBR,4949459.67086939,0.345824780199453
AFG,GHA,6597194.62300104,0.478440145786283
AFG,GRC,2926271.27822401,0.386303911706832
AFG,GTM,13305940.7196557,0.454301524980932
AFG,HKG,4070438.52652914,0.390784063262565
AFG,HND,13240407.7494673,0.400820592160632
AFG,HRV,3655515.43215398,0.32729942422803
AFG,HUN,3421178.16223204,0.388473777107284
AFG,IDN,3954576.8117834,0.305892401670914
AFG,IND,217237.70638259,0.386721706786676
AFG,IRL,5460241.11004745,0.412189323976252
AFG,IRQ,1183900.02894516,0.236199286408744
AFG,ISR,2271279.45292103,0.298962562204702
AFG,ITA,3748889.43261365,0.37746794685112
AFG,JAM,12553664.4711765,0.311946147916592
AFG,JOR,1979705.29833061,0.50848975820561
AFG,JPN,4820272.02971628,1.49222308416001
AFG,KAZ,307023.44105141,0.243980492662836
AFG,KEN,3501099.39833969,0.338886539419907
AFG,KGZ,104564.58672716,0.479122056995918
AFG,KOR,4482114.95864239,1.2273457432199
AFG,KWT,1204856.9091847,0.484047346237948
AFG,LAO,3043627.35530759,0.491214749982123
AFG,LBN,2194144.53854243,0.504509177022579
AFG,LBY,3294704.10846253,0.261533081081534
AFG,LKA,2647646.05501791,0.24658093438058
AFG,LUX,4628489.40313491,0.369001260837954
AFG,MDA,2850348.37215703,0.506998922188204
AFG,MEX,12078081.55909,0.494755654843884
AFG,MLI,5759173.05956566,0.361245508761009
AFG,MMR,2239082.66013457,0.236041335998592
AFG,MNG,1599305.10870491,0.515193815083217
AFG,MOZ,4986471.78961621,0.512628039810543
AFG,MUS,5517100.95431405,0.38036307155138
AFG,MYS,4238460.22040432,0.468678790111095
AFG,NER,4571003.34805047,0.399301115826139
AFG,NGA,5143845.14711801,0.36209660699874
AFG,NIC,13255165.0703036,0.630822902168271
AFG,NLD,4583485.74324898,1.15164460034335
AFG,NOR,4115786.33155733,1.20224411460402
AFG,NZL,12578218.0624502,0.411532983732774
AFG,OMN,583786.93348076,0.537162328537659
AFG,PAK,0,0.264718058129777
AFG,PAN,13453563.7780511,0.234076202335906
AFG,PER,13821852.3732037,0.552233961921938
AFG,PHL,4857549.92687675,0.242147400977173
AFG,PNG,8100290.73160098,0.997033111787166
AFG,POL,3395087.61899698,0.370660525413754
AFG,PRI,11807799.838682,0.262177504374422
AFG,PRT,5752665.89952102,0.442871845684505
AFG,PRY,13631591.8061984,0.539844545772207
AFG,QAT,1013957.68043435,0.331712556289327
AFG,ROU,2854632.31764161,0.338248756982195
AFG,RWA,4708327.67456722,0.365626318117282
AFG,SAU,974835.41504657,0.47300458412155
AFG,SGP,4951140.62663751,0.277549620428492
AFG,SLV,13619607.593753,0.372905170787427
AFG,SVK,3467654.33717749,0.416812276450682
AFG,SVN,3883710.67831155,0.414032150442451
AFG,SWE,3943081.15086466,1.43518556281061
AFG,THA,2965579.10453277,0.531953759362597
AFG,TTO,11985536.3606202,0.201651428708056
AFG,TUR,1458423.84195028,0.168629788590273
AFG,TWN,4335836.10997742,1.3876071303867
AFG,TZA,4412918.26125435,0.328220132685367
AFG,UGA,4012078.93143778,0.430506454887729
AFG,URY,13837471.5652113,0.536739970190408
AFG,USA,7195429.5686191,0.460461722513392
AFG,VEN,12137277.4611632,0.542148635615732
AFG,VNM,3085951.38475711,0.502635879340104
AFG,ZAF,6613761.86674829,0.316863789190245
AFG,ZMB,5290303.65539736,0.422050668759096
AFG,ZWE,5979655.31459863,0.41209311823907
AGO,ABW,9253537.4481379,0.245539907550687
AGO,AFG,5870943.97278242,0.360960577625868
AGO,ARE,4744226.3864241,0.167538086416194
AGO,ARG,6760659.96959739,0.18895642884009
AGO,AUS,9059871.17648622,0.85363579429403
AGO,AUT,5654383.10531606,0.206740779721854
AGO,BEL,6038800.6519826,0.35012254883112
AGO,BFA,2122502.75790801,0.16319953247482
AGO,BGD,7979000.65852239,0.102068087079165
AGO,BGR,5190579.70681275,0.278545802158281
AGO,BHR,4820354.79606275,0.215768876578621
AGO,BIH,5255245.23951754,0.335865946174958
AGO,BLZ,11212939.3650341,0.229704909612311
AGO,BOL,7286329.14285013,0.14052549412829
AGO,BRA,5132780.47220949,0.168786854345947
AGO,BRB,8140884.52382642,0.162297242736899
AGO,BWA,30877.26839923,0.332608473133202
AGO,CAN,8556515.70800083,0.61347537252933
AGO,CHE,5601672.56022629,1.11074587908306
AGO,CHL,7694412.38044142,0.101816344463942
AGO,CMR,734498.00839189,0.187052473386481
AGO,COL,8789802.31345777,0.193248527808105
AGO,CRI,10600811.8801102,0.122262937147772
AGO,CZE,5895612.33523917,0.711869658153794
AGO,DEU,5755544.56311771,1.44586457754521
AGO,DNK,6568195.50151555,1.62258084978839
AGO,DOM,9175076.27600218,0.259820100069259
AGO,ECU,9656827.39598278,0.247594372714729
AGO,EGY,3221331.85993083,0.116347842695943
AGO,ESP,4615046.1939927,0.194418247857551
AGO,EST,6982486.07099682,1.20993394708141
AGO,FIN,7199349.44107711,1.67354198214446
AGO,FRA,2284236.2116816,0.163276201572673
AGO,GAB,118521.98734846,0.128884259318196
AGO,GBR,6253891.6710875,0.329823214161769
AGO,GHA,1716941.99244415,0.132521828767943
AGO,GRC,4552085.97353218,0.727418299879787
AGO,GTM,11252848.3214964,0.140044283710546
AGO,HKG,10449852.4115561,0.184451139058559
AGO,HND,10705794.2084452,0.122867129452918
AGO,HRV,5242157.46282724,0.310123801247179
AGO,HUN,5604838.97171003,0.722225447696216
AGO,IDN,8078732.6596666,0.159467013516903
AGO,IND,5829836.44509777,0.119590949072244
AGO,IRL,6554243.12690018,0.541075639629063
AGO,IRQ,4743566.72390499,0.493741815830906
AGO,ISR,4325248.93677926,0.463391644292385
AGO,ITA,4578025.56154742,0.146707684529475
AGO,JAM,9991874.17808618,0.196003393337973
AGO,JOR,4314020.36806614,0.217057502058786
AGO,JPN,11477083.0846811,1.81774987363498
AGO,KAZ,6289160.54255037,0.288085847968969
AGO,KEN,1527149.29654415,0.151523861487226
AGO,KGZ,7134975.03203179,0.180636053710216
AGO,KOR,11766347.5550083,1.52407295133796
AGO,KWT,4838757.8265032,0.156782791147498
AGO,LAO,9014362.26634465,0.144859356618756
AGO,LBN,4705336.32065405,0.214990940041668
AGO,LBY,2925821.74460834,0.162282458386604
AGO,LKA,6491125.78769858,0.198272267349723
AGO,LUX,6023892.53896257,0.223665136085175
AGO,MDA,5751846.21782925,0.208423276291301
AGO,MEX,11110539.529741,0.161267610511224
AGO,MLI,2426597.79646039,0.353753314613446
AGO,MMR,8254827.10345531,0.185860907939244
AGO,MNG,8920182.55532333,0.752699220339705
AGO,MOZ,711666.40440719,0.3878932482011
AGO,MUS,3574557.84030238,0.152454349888745
AGO,MYS,8592290.68464369,0.157386008590345
AGO,NER,1947078.66695986,0.077903324062584
AGO,NGA,1117040.10581658,0.104276605238184
AGO,NIC,10704542.0297355,0.807008899269395
AGO,NLD,6170271.65743865,1.41704332054458
AGO,NOR,6960709.95223528,1.47936123036262
AGO,NZL,11538990.9107786,0.132241102158141
AGO,OMN,4352403.40003148,0.185893124133196
AGO,PAK,5618722.1415662,0.20017649986949
AGO,PAN,9998454.55978163,0.293051805488381
AGO,PER,8517270.19380672,0.231333161263144
AGO,PHL,10496519.7638516,0.306207330088618
AGO,PNG,12545031.9654258,1.12863527456836
AGO,POL,6000265.75672391,0.183089753126711
AGO,PRI,8849509.33592684,0.253935363429358
AGO,PRT,5078171.69383434,0.187848006377497
AGO,PRY,6848538.91300296,0.18525599963294
AGO,QAT,4749627.36153235,0.070011958978449
AGO,ROU,5460643.960154,0.11262815278606
AGO,RWA,942276.58701061,0.331510398479444
AGO,SAU,3465907.25859275,0.15701415222839
AGO,SGP,8904499.42367223,0.178119127552321
AGO,SLV,11189003.8390978,0.108951817791169
AGO,SVK,5824113.77125111,0.587762018167217
AGO,SVN,5544826.94116245,0.269871442357282
AGO,SWE,6646861.05166262,1.71685505127835
AGO,THA,8481198.58554389,0.208235718117714
AGO,TTO,8226807.34634326,0.38034600287107
AGO,TUR,4819424.25660109,0.240621024850282
AGO,TWN,10937745.5381244,1.65174823320626
AGO,TZA,788694.98942761,0.459557607596697
AGO,UGA,1085363.3065825,0.11590360003037
AGO,URY,6660461.32163358,0.184910989938402
AGO,USA,9536877.83422455,0.733644906954311
AGO,VEN,8102602.48705201,0.201625281896889
AGO,VNM,9140122.43282096,0.321167675521681
AGO,ZAF,754691.40310577,0.229182774003632
AGO,ZMB,0,0.683605556735754
AGO,ZWE,197557.50934546,0.109543479495587
ARE,ABW,12462453.5863997,0.278068701942524
ARE,AFG,624789.70001032,0.430901220234986
ARE,AGO,4744226.3864241,0.167538086416194
ARE,ARG,12600799.5679226,0.161582614782655
ARE,AUS,8070228.74810368,0.835221203215053
ARE,AUT,3993414.30067428,0.230400487412679
ARE,BEL,4823548.32992057,0.358819241680264
ARE,BFA,5338812.37607488,0.242966470526285
ARE,BGD,3169890.63513201,0.218466152069377
ARE,BGR,2925483.43052194,0.333364317976594
ARE,BHR,193471.10752259,0.196071327582592
ARE,BIH,3618298.82524374,0.380289420047416
ARE,BLZ,13563269.7615348,0.226561025553823
ARE,BOL,12705875.8162856,0.158070246093311
ARE,BRA,9937920.38714045,0.195201369359951
ARE,BRB,11449730.6039983,0.155488416288803
ARE,BWA,5413621.07480714,0.397175452665444
ARE,CAN,7516551.21054127,0.639287416972992
ARE,CHE,4400074.92041365,1.13828773721762
ARE,CHL,13806891.3446884,0.115666092697903
ARE,CMR,4071705.35550802,0.205269598820673
ARE,COL,12593935.6549265,0.173463238468559
ARE,CRI,13773482.6481485,0.159140265175096
ARE,CZE,3982989.44009853,0.737701962312694
ARE,DEU,4254743.27311833,1.48950612090048
ARE,DNK,4532276.47554631,1.68757947318045
ARE,DOM,11945015.0608018,0.215106284891911
ARE,ECU,13698357.6911652,0.204268222198168
ARE,EGY,1521477.2569121,0.062865366458806
ARE,ESP,4713933.03160919,0.137969416538594
ARE,EST,4166322.45485777,1.27434583975466
ARE,FIN,4392061.26109997,1.73438041790145
ARE,FRA,4039556.25797352,0.127448079624606
ARE,GAB,4747525.64953304,0.185536494253826
ARE,GBR,5185660.10611458,0.34062461537593
ARE,GHA,5617665.96030221,0.142526350195324
ARE,GRC,2598811.52324398,0.763797056291788
ARE,GTM,13685923.8480937,0.123281464137964
ARE,HKG,5809383.89173335,0.115682797770455
ARE,HND,13439467.5732386,0.152865568719709
ARE,HRV,3636291.92338603,0.337988211480815
ARE,HUN,3639899.5313381,0.761160972922285
ARE,IDN,4645343.16142366,0.220959442884888
ARE,IND,1198532.27267352,0.163326066198877
ARE,IRL,5723718.66949305,0.570567699050691
ARE,IRQ,694647.85105157,0.557579071970963
ARE,ISR,1744418.51801572,0.423038064008429
ARE,ITA,3544916.23825383,0.132940362192977
ARE,JAM,12657901.8460942,0.197304148968034
ARE,JOR,1490148.8072471,0.144670369461061
ARE,JPN,6710311.37786548,1.82911035563741
ARE,KAZ,1690378.23057228,0.339203351103729
ARE,KEN,2399933.28846002,0.23386804869413
ARE,KGZ,1932571.94042287,0.170602345529011
ARE,KOR,6601542.42526194,1.56425144705063
ARE,KWT,563617.80245839,0.157567250404391
ARE,LAO,4496999.07706001,0.243138520189624
ARE,LBN,1815598.78525408,0.177658371882667
ARE,LBY,2677244.28293959,0.232337441451007
ARE,LKA,2989810.04111591,0.266052000932149
ARE,LUX,4793002.32946545,0.194490884876387
ARE,MDA,3111833.23037121,0.182251539088151
ARE,MEX,13226614.3958039,0.146326510926763
ARE,MLI,4901318.91165869,0.492501510454537
ARE,MMR,3672231.17428618,0.301249045309691
ARE,MNG,3717972.48760981,0.750195522447315
ARE,MOZ,3940099.52298317,0.516486697602174
ARE,MUS,4746272.77250442,0.239342513147999
ARE,MYS,5038712.86884844,0.146286142542621
ARE,NER,3678892.40209868,0.172244485833364
ARE,NGA,4110139.45692517,0.186100923694645
ARE,NIC,13440462.5184371,0.913849164413909
ARE,NLD,4858360.67191144,1.47059647738596
ARE,NOR,4946524.44988931,1.51779443183193
ARE,NZL,13380136.854698,0.158456512961759
ARE,OMN,0,0.217779194139385
ARE,PAK,522038.27985389,0.275796047651158
ARE,PAN,13376349.7023476,0.373999645855447
ARE,PER,13320760.6203274,0.181213487632681
ARE,PHL,6606630.61188581,0.389624893711888
ARE,PNG,9585374.11678136,1.21060724142886
ARE,POL,3714511.41651546,0.138330855198687
ARE,PRI,11705788.7941977,0.269779954407291
ARE,PRT,5611655.88028413,0.159620018481392
ARE,PRY,12585571.367742,0.20197799880185
ARE,QAT,40126.90659882,0.160974369388422
ARE,ROU,3005409.50930001,0.134292778659167
ARE,RWA,3580117.90640147,0.405875036310439
ARE,SAU,0,0.111067623545298
ARE,SGP,5707717.21529388,0.212890331391541
ARE,SLV,13890847.7481363,0.134558904573425
ARE,SVK,3714578.42086996,0.615864245106014
ARE,SVN,3969055.95377069,0.288607852977011
ARE,SWE,4500344.28956019,1.76267490039996
ARE,THA,4277484.7134797,0.14710658822772
ARE,TTO,11652893.5285642,0.372065170501083
ARE,TUR,1565441.83489633,0.27010673112679
ARE,TWN,6180491.55518996,1.72831012428326
ARE,TZA,3310446.10125546,0.433545846825915
ARE,UGA,2884086.64449236,0.203739087805949
ARE,URY,12739227.7056203,0.199874693745857
ARE,USA,8883296.3545946,0.743915854851878
ARE,VEN,11747244.5241888,0.191265637530634
ARE,VNM,4640795.26083725,0.463672855146816
ARE,ZAF,5539895.73276656,0.204855594749082
ARE,ZMB,4183395.05665503,0.793893379491226
ARE,ZWE,4896928.75588347,0.089909718607056
ARG,ABW,3826786.17327052,0.362119589362409
ARG,AFG,13662428.641883,0.527810916901119
ARG,AGO,6760659.96959739,0.18895642884009
ARG,ARE,12600799.5679226,0.161582614782655
ARG,AUS,7081666.43931452,0.973911099587637
ARG,AUT,10279988.7111441,0.312211259566339
ARG,BEL,10144911.8645537,0.431578870659813
ARG,BFA,6594107.14261508,0.133503375238231
ARG,BGD,15708582.6176822,0.243457944622886
ARG,BGR,10848710.7653465,0.379337978457206
ARG,BHR,12563190.4382412,0.050862895120117
ARG,BIH,10532143.0390799,0.42046259096381
ARG,BLZ,4865550.03322987,0.343168480633056
ARG,BOL,0,0.06107402311949
ARG,BRA,0,0.292536160158022
ARG,BRB,3915237.24432705,0.230947363267044
ARG,BWA,7197424.97498062,0.489295915372283
ARG,CAN,7263722.03027905,0.721348258402278
ARG,CHE,9999725.50202374,1.23363495666263
ARG,CHL,0,0.120305921716265
ARG,CMR,7506469.17750314,0.059652661298554
ARG,COL,1994650.29903149,0.02956937774117
ARG,CRI,3786238.83467473,0.089916923879768
ARG,CZE,10618126.4974208,0.828242009197795
ARG,DEU,10194871.89344,1.57310672638572
ARG,DNK,10743395.5101714,1.74562396635129
ARG,DOM,4421985.52064336,0.094140925213214
ARG,ECU,2325529.78871687,0.08356488616638
ARG,EGY,10013533.9821914,0.158727691030897
ARG,ESP,7061670.6949428,0.104647417072759
ARG,EST,11617897.5423455,1.31872051212529
ARG,FIN,11695631.8060931,1.78449961905292
ARG,FRA,2841503.02290468,0.170148640899656
ARG,GAB,7231153.40833835,0.12917200354566
ARG,GBR,9665700.93022449,0.403947791180989
ARG,GHA,6454211.64267488,0.068476073923671
ARG,GRC,10488168.868079,0.883899966398913
ARG,GTM,4732712.00084963,0.092957483829975
ARG,HKG,16363315.6481882,0.220775758859527
ARG,HND,4486291.83379899,0.155279105806287
ARG,HRV,10412006.6709157,0.392477170673658
ARG,HUN,10678770.7165547,0.872769160946925
ARG,IDN,12384433.9203782,0.292966136268341
ARG,IND,13595390.6652109,0.165356014405282
ARG,IRL,9590570.16082412,0.638012140323364
ARG,IRQ,11752490.8230796,0.646341379380897
ARG,ISR,11268694.462893,0.572441565402094
ARG,ITA,9668531.91068147,0.185498531261032
ARG,JAM,4546908.59490783,0.299706310243879
ARG,JOR,11267405.5082682,0.118038176027927
ARG,JPN,16003447.6329278,1.97165695066358
ARG,KAZ,12863970.7403138,0.393984287757773
ARG,KEN,9729378.18059503,0.247010798954216
ARG,KGZ,14562888.797474,0.104588934883189
ARG,KOR,17333146.7390956,1.65682240925212
ARG,KWT,12306864.1656844,0.066031165369089
ARG,LAO,15384642.8491766,0.153260535037563
ARG,LBN,11442091.6035768,0.123340241202942
ARG,LBY,8873113.11334023,0.298972522316015
ARG,LKA,13719752.2250984,0.323386564037531
ARG,LUX,10224199.7853629,0.266105085821372
ARG,MDA,11429516.603282,0.10696644286878
ARG,MEX,4937954.88242896,0.047509129648942
ARG,MLI,6225741.96805776,0.494354281462192
ARG,MMR,14775225.8303153,0.357940401044643
ARG,MNG,15813349.6461627,0.89139066615037
ARG,MOZ,7962764.14313713,0.514637744632086
ARG,MUS,9968906.33477911,0.222935727509074
ARG,MYS,13959851.6735134,0.084716734474365
ARG,NER,7334173.64240782,0.178911587942201
ARG,NGA,7068912.03296397,0.191104098333866
ARG,NIC,4095687.25456746,0.970295336225007
ARG,NLD,3768785.8629758,1.54230387197206
ARG,NOR,10842804.1191852,1.60452952440895
ARG,NZL,6940403.98455769,0.197607336655297
ARG,OMN,12440330.5196329,0.078756990800817
ARG,PAK,13597892.2456179,0.315869906290549
ARG,PAN,3470396.1348831,0.43788252614143
ARG,PER,556610.00992481,0.069310425622701
ARG,PHL,14396483.1972082,0.454282758202422
ARG,PNG,11626502.4776912,1.28194051398651
ARG,POL,10832720.9218819,0.225754130637736
ARG,PRI,4419983.52963297,0.376416483432912
ARG,PRT,7565899.58717464,0.161535137663606
ARG,PRY,0,0.064224001743896
ARG,QAT,12552074.6904527,0.203940175051411
ARG,ROU,10910939.5847465,0.203273795163076
ARG,RWA,9136504.17386664,0.411075870247817
ARG,SAU,11181328.4607289,0.085234778113162
ARG,SGP,13958537.6830135,0.325823973949125
ARG,SLV,4554302.5583677,0.186328659094622
ARG,SVK,10810349.2477124,0.693318844111423
ARG,SVN,10435018.638708,0.297551787761391
ARG,SWE,10995952.1377079,1.84582792440141
ARG,THA,14386285.2669208,0.058725843544389
ARG,TTO,3567092.07548912,0.509626628523275
ARG,TUR,10951891.046294,0.386365281048906
ARG,TWN,16268771.74987,1.83063716544268
ARG,TZA,9022011.52380919,0.56495030710674
ARG,UGA,9265907.2005042,0.181096333756374
ARG,URY,0,0.061978580170895
ARG,USA,5413860.66185994,0.8599819040538
ARG,VEN,2501874.45225744,0.05057908164449
ARG,VNM,14780382.0677911,0.431984594401236
ARG,ZAF,6488313.01926728,0.324914613860319
ARG,ZMB,7811863.4420825,0.869286677454567
ARG,ZWE,8053194.80229201,0.144901680804606
AUS,ABW,13696719.6604432,0.722092697996594
AUS,AFG,7636943.64010198,0.67320719655987
AUS,AGO,9059871.17648622,0.85363579429403
AUS,ARE,8070228.74810368,0.835221203215053
AUS,ARG,7081666.43931452,0.973911099587637
AUS,AUT,12294314.1578673,0.834894252645208
AUS,BEL,13100005.4992017,0.905052377213606
AUS,BFA,12618045.2811222,1.00656070065347
AUS,BGD,5250287.22742775,0.854031233211058
AUS,BGR,11297370.45883,0.911998882565105
AUS,BHR,8650005.05807036,1.01634396480719
AUS,BIH,12016252.8154301,0.961085314579304
AUS,BLZ,12841662.6003281,0.702989188394815
AUS,BOL,10310853.7015364,0.955817472742573
AUS,BRA,9704182.90075138,0.695757961147409
AUS,BRB,14311391.6405723,0.831452608811831
AUS,BWA,8260772.00241898,0.661533658780867
AUS,CAN,10266385.609359,0.955942356211921
AUS,CHE,12771766.8911551,1.16675630403268
AUS,CHL,6988457.08839235,0.884305048894328
AUS,CMR,10769492.8002499,1.00717312230818
AUS,COL,12074207.586743,0.987691432280345
AUS,CRI,12521010.7894465,0.924089845036726
AUS,CZE,12203882.6546373,0.954054719657106
AUS,DEU,12498984.3240728,1.48673787753592
AUS,DNK,12526487.624744,1.77571100666747
AUS,DOM,14098089.3608177,1.04718078434433
AUS,ECU,11164115.3189029,1.03520786729043
AUS,EGY,9674477.72743137,0.830087238186445
AUS,ESP,13188454.5655683,0.962082022906571
AUS,EST,11768589.2578145,1.50486310586711
AUS,FIN,11561359.3892517,1.87288204137367
AUS,FRA,5800583.10352294,0.902292865482156
AUS,GAB,10765791.6619158,0.956252397748628
AUS,GBR,13228266.008211,0.926100160943729
AUS,GHA,12475411.8812808,0.924503802696344
AUS,GRC,11069581.3541607,0.547249950662401
AUS,GTM,12528098.4335015,0.926365331227373
AUS,HKG,4109992.82730195,0.842911460593579
AUS,HND,12700450.6357709,0.892295447931906
AUS,HRV,12062654.028558,0.928348871276311
AUS,HUN,11876450.7378956,0.752276760374797
AUS,IDN,165208.51916863,0.735424786297008
AUS,IND,3855621.39303762,0.895820258422414
AUS,IRL,13877780.3694104,0.983086210817749
AUS,IRQ,9062597.58216626,0.625668669025388
AUS,ISR,10199502.3359686,0.580204046780096
AUS,ITA,12004566.2659979,0.884762264679049
AUS,JAM,13738188.0755901,0.707274854565041
AUS,JOR,9955726.4438693,0.97446833047565
AUS,JPN,4005692.73595239,1.23334073361744
AUS,KAZ,7796567.86067389,0.800893453400638
