"country" "Grocerypharmacy" "Parks" "Residential" "Retailrecreation" "Transitstations" "Workplace" "mean"
"AE" 0.020234835467256 0.0278054274373974 0.270618129046481 0.00554057185255579 0.0657648348070209 0.00463241607530368 0.0657660357810025
"AR" 0.0260562251181624 0.021773645616364 0.00440677516167086 0.010410763861052 0.0584283211167566 0.0166610714341009 0.0229561337180178
"AT" 0.0505944125774765 0.407038930392382 0.0155929026981181 0.00130578781611351 0.0175861675554775 0.00658881891254747 0.0831178366586858
"AU" 0.181154453205269 0.288729397984819 0.0210234987331394 0.0291526540982294 0.0177757282987487 0.0961995528294254 0.105672547524938
"BB" 0.220409995656393 0.308918390563071 NA 0.292808809943047 NA 0.0185141514932884 0.21016283691395
"BE" 0.0404253292015244 0.0654009131821825 0.000412888421317458 0.00209600368083126 0.000708772425974748 0.00181433223746069 0.0184763731915485
"BG" 0.0481696053396551 0.229354017040704 0.38155105858927 0.044166922411799 0.267348525095647 0.0107125908193535 0.163550453216071
"BR" 0.0465498122693612 0.0687564954666276 0.00792851922004026 0.00731055218229792 0.0192829652300544 0.023651124579402 0.0289132448246306
"CA" 0.111636393930075 0.261177357832726 0.0469027269021774 0.097670863967243 0.0258264766217692 0.0273378637475035 0.0950919471669157
"CH" 0.273972618620907 0.290690094981888 0.310364523270186 0.15787084469767 0.0416786953309073 0.0370789280617421 0.185275950827217
"CL" 0.0429167500555016 0.0429606936094207 0.198650002030837 0.0125617960431299 0.0215923732278095 0.031869315301794 0.0584251550447488
"CO" 0.0826306956896759 0.01716319990525 0.288104102634762 0.17162221851096 0.242889186708384 0.0502770953687101 0.142114416469624
"CZ" 0.0408763912937151 0.364614707889967 0.0022374236255157 0.00214692319199308 0.0247989828087199 0.0133375580490687 0.0746686644764966
"DE" 0.082030091569308 0.168212754460919 0.00459496139844919 0.00998393810947547 0.00901161692007581 0.015575577916676 0.0482348233958172
"DK" 0.0273783964920239 0.0168179562653631 0.00153875904474877 0.0219590730036002 0.00335691081684363 0.00783415829375603 0.0131475423193893
"EE" 0.0860569104097117 0.192859363616297 0.445613932889919 0.0705905353655534 0.120469181954973 0.0233236515277667 0.156485595960703
"EG" 0.202155861061736 0.361334872379463 0.250016849512231 0.0863067886454917 0.0671851189963335 0.0372927759993409 0.167382044432433
"ES" 0.0186991393550587 0.0195843165902348 0.394456617503968 0.00249276352270307 0.0703124419304238 0.00845375177725085 0.0856665051132732
"FI" 0.124559198793068 0.210407492250711 0.0444519018107259 0.0374242084610617 0.173737484468236 0.0559269778239889 0.107751210601299
"FR" 0.00685464065889556 0.0424997667372448 0.00852892706461094 0.00167639115579705 0.00901232232842909 0.00997843825086918 0.0130917476993078
"GB" 0.0533759124645876 0.202481484907943 0.312731448126798 0.0718150519540957 0.0397473717932895 0.0156388690212888 0.115965023044667
"GR" 0.0185996337591351 0.039679079218467 0.00198810310591385 0.00837312371678106 0.0182688005342187 0.00161768777782867 0.0147544046853907
"HR" 0.0353110894392998 0.235393089677276 0.372153502172468 0.0343228721107866 0.171374653837912 0.00347935921112095 0.142005761074811
"HU" 0.0156918044065405 0.226237038303301 0.0459304084522527 0.0195599294115592 0.0208868908374697 0.00319305673851015 0.0552498546916055
"ID" 0.0707811588865886 0.175864899400242 0.00886246200995281 0.0176731426162009 0.0922008341200918 0.0384038408539801 0.067297722981176
