"Category" "Mean" "Median" "Standard deviation"
"grocerypharmacy" "57.942" "57.461" "16.969"
"parks" "61.404" "53.163" "40.155"
"residential" "65.052" "66.326" "13.166"
"retailrecreation" "34.854" "32.893" "14.364"
"transitstations" "33.311" "32.618" "13.314"
"workplace" "45.544" "44" "15.459"
