"Category" "Mean" "Median" "Standard deviation"
"Grocerypharmacy" "0.476" "0.511" "0.217"
"Parks" "0.549" "0.647" "0.295"
"Residential" "0.667" "0.705" "0.164"
"Retailrecreation" "0.652" "0.677" "0.153"
"Transitstations" "0.671" "0.695" "0.158"
"Workplace" "0.646" "0.654" "0.134"
