"country","Grocerypharmacy","Parks","Residential","Retailrecreation","Transitstations","Workplace","mean"
"AE",0.51179,"0.73884",0.72987,0.67677,0.75954,0.70559,0.676712
"AF",0.48853,"0.53363",0.65748,0.69602,0.71639,0.67628,0.64694
"AO",0.5788,"0.71241",0.7077,0.68681,0.70577,0.60731,0.657278
"AR",0.40965,"0.6358",0.60075,0.64043,0.56151,0.54803,0.552074
"AT",0.42103,"0.53098",0.59241,0.64099,0.61758,0.5541,0.565222
"AU",NA,"0.66094",0.76837,0.68351,0.79503,0.70617,0.73827
"AW",0.44107,"0.55509",0.31279,0.57894,0.62355,0.5537,0.50201
"BA",0.53725,"0.35712",0.66176,0.61116,0.57798,0.61908,0.601446
"BB",0.66647,"0.76196",0.66611,0.76436,0.78799,0.81715,0.740416
"BD",0.71139,"0.7233",0.76327,0.74507,0.77254,0.70373,0.7392
"BE",0.40964,"0.3509",0.65039,0.63455,0.62535,0.62536,0.589058
"BF",0.68418,"0.64043",0.76828,0.72132,0.75125,0.62197,0.7094
"BG",0.48604,"0.57931",0.61007,0.55328,0.65137,0.58009,0.57617
"BH",0.67488,"0.70748",0.81647,0.79114,0.79264,0.75137,0.7653
"BO",0.59079,"0.66757",0.69719,0.66916,0.67484,0.65111,0.656618
"BR",0.28209,"0.61149",0.51108,0.51151,0.4863,0.42419,0.443034
"BW",0.38855,"0.44444",0.57409,0.45237,0.56627,0.58519,0.513294
"BZ",0.671,"0.70536",0.5599,0.70171,0.70284,0.7136,0.66981
"CA",0.38784,"0.48364",0.71978,0.64796,0.75043,0.65388,0.631978
"CH",0.23017,NA,0.72966,0.78629,0.66628,0.62498,0.607476
"CL",0.60933,"0.77233",0.60535,0.71011,0.6259,0.55816,0.62177
"CM",0.71113,"0.73027",0.70774,0.75463,0.74007,0.66208,0.71513
"CO",0.45936,"0.69642",0.72987,0.68408,0.70672,0.68808,0.653622
"CR",0.61998,"0.82382",0.83416,0.81223,0.85153,0.81791,0.787162
"CZ",0.25843,"0.2479",0.65871,0.61865,0.59373,0.64033,0.55397
"DE",0.25259,NA,0.64607,0.64706,0.66689,0.60303,0.563128
"DK",0.33855,"-0.56072",0.53436,0.4163,0.5837,0.60394,0.49537
"DO",0.54737,"0.6649",0.69507,0.67625,0.69481,0.64342,0.651384
"EC",0.54346,"0.61483",0.67754,0.5884,0.57738,0.61531,0.600418
