"g1name","g2name","value"
"NGA","ARE",7.81024967590665
"NLD","ARE",8.18535277187245
"NOR","ARE",4.12310562561766
"NZL","ARE",4.35889894354067
"OMN","ARE",4.24264068711928
"PAN","ARE",11.9582607431014
"PER","ARE",7.48331477354788
"PHL","ARE",8.77496438739212
"PAK","ARE",1.73205080756888
"POL","ARE",4.79583152331272
"PRI","ARE",10.5356537528527
"PRT","ARE",2.23606797749979
"PRY","ARE",5.29150262212918
"QAT","ARE",5.19615242270663
"ROU","ARE",7.61577310586391
"RWA","ARE",8.48528137423857
"SAU","ARE",10.1980390271856
"SWE","ARE",7
"SGP","ARE",5.56776436283002
"SVN","ARE",5.19615242270663
"SVK","ARE",4.89897948556636
"SLV","ARE",10.770329614269
"THA","ARE",7.41619848709566
"TUR","ARE",3.60555127546399
"TTO","ARE",4.89897948556636
"TZA","ARE",11.6189500386223
"UGA","ARE",7.41619848709566
"USA","ARE",7.28010988928052
"URY","ARE",4.58257569495584
"VEN","ARE",2
"VNM","ARE",6.6332495807108
"ZAF","ARE",18.1107702762748
"ZMB","ARE",9.89949493661167
"ZWE","ARE",9.53939201416946
"ARE","AFG",10
"AFG","AFG",0
"AGO","AFG",15.2315462117278
"ARG","AFG",11.13552872566
"AUT","AFG",7.48331477354788
"AUS","AFG",9.05538513813742
"BIH","AFG",6.78232998312527
"BGD","AFG",6.557438524302
"BEL","AFG",6.6332495807108
"BFA","AFG",7.87400787401181
"BGR","AFG",7.14142842854285
"BOL","AFG",4.12310562561766
"BRA","AFG",5.56776436283002
"BWA","AFG",6.70820393249937
"CAN","AFG",8.66025403784439
"CHE","AFG",7.87400787401181
"CHL","AFG",10.3440804327886
"CMR","AFG",10.5830052442584
"COL","AFG",17.1172427686237
"CRI","AFG",5.56776436283002
"CZE","AFG",6.557438524302
"DNK","AFG",9.53939201416946
"DOM","AFG",11.7046999107196
"ECU","AFG",12.2474487139159
"EST","AFG",11.9582607431014
"EGY","AFG",22.8254244210267
"ESP","AFG",6.16441400296898
"FIN","AFG",10.770329614269
"FRA","AFG",11.4017542509914
"GAB","AFG",17.7763888346312
"GBR","AFG",11.0453610171873
"GHA","AFG",4.79583152331272
"GRC","AFG",9.9498743710662
"GTM","AFG",6.48074069840786
"HKG","AFG",15.8429795177549
"HND","AFG",15.7162336455017
"HRV","AFG",7.61577310586391
"HUN","AFG",3.3166247903554
"IDN","AFG",4.35889894354067
"IRL","AFG",11.2249721603218
"ISR","AFG",9.4339811320566
"IND","AFG",6.6332495807108
"IRQ","AFG",12.328828005938
"ITA","AFG",10.5830052442584
"JAM","AFG",4.79583152331272
"JOR","AFG",10.2469507659596
"JPN","AFG",9.2736184954957
"KEN","AFG",6.557438524302
"KGZ","AFG",7.28010988928052
"KOR","AFG",24.8797106092495
"KWT","AFG",4.69041575982343
"KAZ","AFG",4
"LAO","AFG",7.74596669241483
"LBN","AFG",16.8819430161341
"LKA","AFG",7.93725393319377
"LBY","AFG",4.35889894354067
"MDA","AFG",15.9059737205869
"MLI","AFG",9.8488578017961
"MMR","AFG",9.1104335791443
"MUS","AFG",14.560219778561
"MEX","AFG",16.4924225024706
"MYS","AFG",6.08276253029822
"MOZ","AFG",7.34846922834953
"NER","AFG",2.64575131106459
"NGA","AFG",4.12310562561766
"NLD","AFG",8.54400374531753
"NOR","AFG",12.7671453348037
"NZL","AFG",11.7046999107196
"OMN","AFG",13.856406460551
"PAN","AFG",6.08276253029822
"PER","AFG",4.24264068711928
"PHL","AFG",3.3166247903554
"PAK","AFG",9.53939201416946
"POL","AFG",6.557438524302
"PRI","AFG",5
"PRT","AFG",10.6301458127346
"PRY","AFG",6.6332495807108
"QAT","AFG",7.54983443527075
"ROU","AFG",3.16227766016838
"RWA","AFG",3.16227766016838
"SAU","AFG",3.46410161513775
"SWE","AFG",11.3578166916005
"SGP","AFG",9.53939201416946
"SVN","AFG",7.93725393319377
"SVK","AFG",6.16441400296898
"SLV","AFG",4
"THA","AFG",6.40312423743285
"TUR","AFG",8.18535277187245
"TTO","AFG",7.07106781186548
"TZA","AFG",7.14142842854285
"UGA","AFG",3.87298334620742
"USA","AFG",4.58257569495584
"URY","AFG",9.4339811320566
"VEN","AFG",11.2249721603218
"VNM","AFG",16.2480768092719
"ZAF","AFG",9.48683298050514
"ZMB","AFG",14.142135623731
"ZWE","AFG",4.79583152331272
"ARE","AGO",6
"AFG","AGO",15.2315462117278
"AGO","AGO",0
"ARG","AGO",5.29150262212918
"AUT","AGO",9.05538513813742
"AUS","AGO",10.5830052442584
"BIH","AGO",9.05538513813742
"BGD","AGO",10.3440804327886
"BEL","AGO",9.79795897113271
"BFA","AGO",9.16515138991168
"BGR","AGO",9.53939201416946
"BOL","AGO",15.9687194226713
"BRA","AGO",13.7477270848675
"BWA","AGO",19.3649167310371
"CAN","AGO",8.06225774829855
"CHE","AGO",10.3923048454133
"CHL","AGO",6.40312423743285
"CMR","AGO",7.74596669241483
"COL","AGO",2.23606797749979
"CRI","AGO",12.7671453348037
"CZE","AGO",10.3440804327886
"DNK","AGO",7.14142842854285
"DOM","AGO",3.87298334620742
"ECU","AGO",3.74165738677394
"EST","AGO",4.35889894354067
"EGY","AGO",8.42614977317636
"ESP","AGO",10.6770782520313
"FIN","AGO",6.16441400296898
"FRA","AGO",5.09901951359278
"GAB","AGO",4.69041575982343
"GBR","AGO",5.29150262212918
"GHA","AGO",14.3874945699382
"GRC","AGO",6.85565460040104
"GTM","AGO",9.89949493661167
"HKG","AGO",6.70820393249937
"HND","AGO",1
"HRV","AGO",8.71779788708135
"HUN","AGO",13.6014705087354
"IDN","AGO",13.6747943311773
"IRL","AGO",14.560219778561
"ISR","AGO",6.557438524302
"IND","AGO",9.89949493661167
"IRQ","AGO",3.74165738677394
"ITA","AGO",5.09901951359278
"JAM","AGO",12.7671453348037
"JOR","AGO",5.3851648071345
"JPN","AGO",13.4164078649987
"KEN","AGO",12.2882057274445
"KGZ","AGO",9.1104335791443
"KOR","AGO",10.7238052947636
"KWT","AGO",12.328828005938
"KAZ","AGO",16.9705627484771
"LAO","AGO",9.2736184954957
"LBN","AGO",2.64575131106459
"LKA","AGO",7.93725393319377
"LBY","AGO",12.9228479833201
"MDA","AGO",2.64575131106459
"MLI","AGO",5.91607978309962
"MMR","AGO",13.6014705087354
"MUS","AGO",2
"MEX","AGO",3.16227766016838
"MYS","AGO",9.74679434480896
"MOZ","AGO",11.916375287813
"NER","AGO",14.456832294801
"NGA","AGO",13.5277492584687
"NLD","AGO",11.0905365064094
"NOR","AGO",3.87298334620742
"NZL","AGO",5.56776436283002
"OMN","AGO",2
"PAN","AGO",17.6351920885484
"PER","AGO",13.114877048604
"PHL","AGO",14.3178210632764
"PAK","AGO",6.85565460040104
"POL","AGO",10.0498756211209
"PRI","AGO",15.52417469626
"PRT","AGO",5.91607978309962
"PRY","AGO",10.770329614269
"QAT","AGO",10.6301458127346
"ROU","AGO",13.2664991614216
"RWA","AGO",14.2126704035519
"SAU","AGO",15.6204993518133
"SWE","AGO",8.18535277187245
"SGP","AGO",10.7238052947636
"SVN","AGO",9.9498743710662
"SVK","AGO",10.0995049383621
"SLV","AGO",16.3707055437449
"THA","AGO",13.1529464379659
"TUR","AGO",7.93725393319377
"TTO","AGO",9.2736184954957
"TZA","AGO",16.4620776331543
