g1name,g2name,dist,subregions
AUT,ARE,3993414.30067428,0.460565483558945
AUS,ARE,8070228.74810368,0.409290784852555
BEL,ARE,4823548.32992057,0.281218858801923
BGR,ARE,2925483.43052194,0.309634054762515
CAN,ARE,7516551.21054127,0.35137427975896
CHE,ARE,4400074.92041365,0.399885505068024
CHL,ARE,13806891.3446884,0.0930908979377061
CZE,ARE,3982989.44009853,0.433197721192218
DNK,ARE,4532276.47554631,0.277037957069864
EST,ARE,4166322.45485777,0.264144476363514
FRA,ARE,4039556.25797352,0.268979669369738
HUN,ARE,3639899.5313381,0.303468217618399
IRL,ARE,5723718.66949305,0.166494699814449
ITA,ARE,3544916.23825383,0.243927810541108
JPN,ARE,6710311.37786548,0.444075729597343
MUS,ARE,4746272.77250442,0.32650782008244
MEX,ARE,13226614.3958039,0.265861004117049
NGA,ARE,4110139.45692517,0.674841534846376
PER,ARE,13320760.6203274,0.202208876382151
POL,ARE,3714511.41651546,0.290246569196045
ROU,ARE,3005409.50930002,0.274589026843496
SVK,ARE,3714578.42086996,0.428681004507445
USA,ARE,8883296.3545946,0.411854162701565
ZAF,ARE,5539895.73276656,0.31881486552072
BRA,ARG,0,0.0650431319857265
COL,ARG,1994650.29903149,0.380593065695896
EGY,ARG,10013533.9821914,0.461410633214341
ESP,ARG,7061670.6949428,0.390472901155231
FIN,ARG,11695631.8060931,0.249913818813214
GBR,ARG,9665700.93022449,0.364124019832258
GRC,ARG,10488168.868079,0.0471730616379175
HRV,ARG,10412006.6709157,0.440975050490256
IDN,ARG,12384433.9203782,0.165621134340872
KEN,ARG,9729378.18059503,0.917867259449924
KWT,ARG,12306864.1656844,0.0775899093308201
LVA,ARG,11475710.7410776,0.597675347591071
NLD,ARG,3768785.8629758,0.168026945354487
NOR,ARG,10842804.1191852,0.221976270121264
NZL,ARG,6940403.98455769,0.46090443635711
PRT,ARG,7565899.58717464,0.266405188645584
SAU,ARG,11181328.4607289,0.189080880957325
SWE,ARG,10995952.1377079,0.273884485970444
SVN,ARG,10435018.638708,0.527033529350953
URY,ARG,0,0.413139173834205
ARE,AUT,3993414.30067428,0.460565483558945
AUS,AUT,12294314.1578673,0.199695088994831
BEL,AUT,356836.89564677,0.342576479817206
BGR,AUT,571994.79414637,0.479310439677438
CAN,AUT,4419976.1003912,0.189120808969822
CHE,AUT,0,0.419937967345306
CHL,AUT,10628091.0205076,0.408538445583378
CZE,AUT,0,0.0465929297897819
DNK,AUT,667605.44539783,0.391968738309439
EST,AUT,1077447.10579534,0.497708657250089
FRA,AUT,145779.48063258,0.367337728698943
HUN,AUT,0,0.187572706318966
IRL,AUT,1250295.60001512,0.410720621365245
ITA,AUT,0,0.388483312139654
JPN,AUT,8225099.00030045,0.251435015305994
MUS,AUT,8507967.42655077,0.399234644441697
MEX,AUT,8728164.21814346,0.375561659113267
NGA,AUT,3636607.3102545,0.715026810778439
PER,AUT,9446073.98157853,0.570297424296421
POL,AUT,144983.3347981,0.29607456307311
ROU,AUT,299611.56484822,0.254427449598774
SVK,AUT,0,0.0674241164776351
USA,AUT,5577349.06721663,0.133871578598242
ZAF,AUT,7769509.13529021,0.224691062699534
ARE,AUS,8070228.74810368,0.409290784852555
AUT,AUS,12294314.1578673,0.199695088994831
BEL,AUS,13100005.4992017,0.282908128029746
BGR,AUS,11297370.45883,0.470117598976729
CAN,AUS,10266385.609359,0.125551191901898
CHE,AUS,12771766.8911551,0.336113459029897
CHL,AUS,6988457.08839235,0.339840103734289
CZE,AUS,12203882.6546373,0.182850149892427
DNK,AUS,12526487.624744,0.325623487627872
EST,AUS,11768589.2578145,0.464850065431117
FRA,AUS,5800583.10352294,0.315327438051065
HUN,AUS,11876450.7378956,0.201631955136525
IRL,AUS,13877780.3694104,0.391570519235015
ITA,AUS,12004566.2659979,0.33316294446655
JPN,AUS,4005692.73595239,0.133348645212044
MUS,AUS,5636053.73766713,0.373203753442692
MEX,AUS,11162588.4939581,0.307622536885496
NGA,AUS,11383791.6368093,0.626384231729657
PER,AUS,10648702.0844484,0.508489947637851
POL,AUS,11858275.0086718,0.245933227251183
ROU,AUS,11284978.7850582,0.222797052685996
SVK,AUS,11930849.0003487,0.204522217423169
USA,AUS,7202079.91178269,0.118261181156599
ZAF,AUS,6396846.88487698,0.229282688831556
ARG,BEL,10144911.8645537,0.0758080995765489
BRA,BEL,7191819.35301019,0.0308916102817731
COL,BEL,7813957.31481125,0.420254131050652
EGY,BEL,2558302.57003228,0.434517078448834
ESP,BEL,806874.09032592,0.403398758546128
FIN,BEL,1395121.45543844,0.253298334661497
GBR,BEL,79214.85433056,0.350824114390672
GRC,BEL,1526540.639094,0.0385778500885546
HRV,BEL,733907.1488061,0.44416524613223
IDN,BEL,9422647.5043595,0.152142698451593
KEN,BEL,5622966.45127764,0.908952546545442
KWT,BEL,4062243.43289305,0.0846916567272144
LVA,BEL,1141459.53605332,0.580226567481265
NLD,BEL,0,0.123235454908642
NOR,BEL,739742.03347385,0.1822284828919
NZL,BEL,15233268.7327951,0.491069903233626
PRT,BEL,1213430.37993208,0.306261913774009
SAU,BEL,3271762.73369671,0.197476294460386
SWE,BEL,667455.39186866,0.249726286674744
