"country","Grocerypharmacy","Parks","Residential","Retailrecreation","Transitstations","Workplace","mean"
"PA",0.47517,"0.58519",0.52941,0.56662,0.53399,0.42361,0.50576
"PE",0.8568,"0.94411",0.92576,0.94451,0.94091,0.92068,0.917732
"PG",0.63396,"0.54294",0.56394,0.64403,0.73773,0.44405,0.604742
"PH",0.33187,"0.43935",0.40233,0.44528,0.45166,0.40296,0.40682
"PK",0.86024,"0.88008",0.90126,0.90288,0.89594,0.88757,0.889578
"PL",0.65913,"0.81274",0.95027,0.95338,0.97541,0.94798,0.897234
"PR",0.40383,"0.73025",0.66551,0.72113,0.70408,0.65819,0.630548
"PT",0.89415,"0.92099",0.95264,0.98237,0.98455,0.92119,0.94698
"PY",0.91173,"0.9558",0.94521,0.96763,0.9661,0.92165,0.942464
"QA",0.82867,"0.91046",0.95088,0.94439,0.96129,0.92185,0.921416
"RO",0.76305,"0.8245",0.87935,0.90154,0.92255,0.88295,0.869888
"RW",0.9103,"0.81124",0.93053,0.95315,0.94716,0.90256,0.92874
"SA",0.79053,"0.90597",0.91071,0.91502,0.96008,0.9029,0.895848
"SE",0.36331,"-0.62534",0.85644,0.84808,0.9466,0.80511,0.763908
"SG",0.14697,"0.80371",0.92227,0.9261,0.92103,0.91558,0.76639
"SI",0.82736,"0.67736",0.9152,0.95715,0.93576,0.92627,0.912348
"SK",0.60769,"0.52206",0.87728,0.95277,0.9699,0.91114,0.863756
"SV",0.79598,"0.92487",0.90758,0.92607,0.93568,0.89565,0.892192
"TH",0.86801,"0.92165",0.9356,0.92364,0.95193,0.89201,0.914238
"TR",0.82552,"0.90721",0.9665,0.96942,0.97354,0.9779,0.942576
"TT",0.69322,"0.8442",0.89573,0.94078,0.98161,0.76031,0.85433
"TW",-0.35418,"0.13569",-0.01197,0.25914,0.31884,-0.0679,0.028786
"TZ",0.21836,"0.75761",0.73793,0.84334,0.72907,0.69797,0.645334
"UG",0.86431,"0.86711",0.92639,0.9445,0.94633,0.92251,0.920808
"US",0.61744,"0.79507",0.93891,0.96018,0.96953,0.934,0.884012
"UY",0.86963,"0.94745",0.94886,0.96067,0.9546,0.82258,0.911268
"VE",0.91496,"0.97079",0.95516,0.9628,0.96351,0.8511,0.929506
"VN",0.90034,"0.90173",0.91226,0.94405,0.91913,0.86069,0.907294
"ZA",0.52137,"0.76251",0.79907,0.74605,0.85019,0.82268,0.747872
"ZM",0.20041,"0.50675",0.75831,0.69105,0.78447,0.54374,0.595596
"ZW",0.78127,"0.90902",0.92091,0.8913,0.88398,0.83872,0.863236
