"Category" "Mean" "Median" "Standard deviation"
"grocerypharmacy" "0.741" "0.807" "0.234"
"parks" "0.707" "0.897" "0.45"
"residential" "0.937" "0.949" "0.045"
"retailrecreation" "0.936" "0.947" "0.051"
"transitstations" "0.945" "0.959" "0.048"
"workplace" "0.859" "0.909" "0.179"
