"Category" "Mean" "Median" "Standard deviation"
"Grocerypharmacy" "0.49" "0.532" "0.194"
"Parks" "0.499" "0.58" "0.291"
"Residential" "0.613" "0.633" "0.154"
"Retailrecreation" "0.592" "0.609" "0.148"
"Transitstations" "0.611" "0.639" "0.153"
"Workplace" "0.614" "0.631" "0.111"
