g1name,g2name,dist,lag
ZWE,ARE,4896928.75588347,9.53939201416946
ZMB,BIH,5773720.40495689,10.770329614269
ZMB,BOL,8372125.04619024,12.7671453348037
ZWE,BRA,6575778.02706611,3.46410161513775
ZMB,BWA,0,15.5884572681199
ZMB,CAN,9915102.44764802,13.3790881602597
ZWE,CHE,7146105.85590194,6.40312423743285
ZMB,CHL,8394060.55567669,9.1104335791443
ZMB,CMR,1646340.81053603,6.78232998312527
ZMB,COL,9914120.78166132,14.3874945699382
ZMB,CRI,11806845.2561426,9.8488578017961
ZMB,CZE,6453472.86278571,10.4403065089106
ZMB,DNK,7175648.3902074,9.64365076099295
ZMB,DOM,10498128.6104276,11.0905365064094
ZMB,ECU,10750897.3389993,10.770329614269
ZMB,EGY,3356823.67927402,16.6433169770932
ZMB,EST,7314276.47627081,11.7046999107196
ZMB,FIN,7593380.3074289,9.89949493661167
ZMB,FRA,1252114.93388456,11.3137084989848
ZMB,GAB,1434756.71923181,11.5758369027902
ZWE,GBR,7911395.26076596,11.7898261225516
ZMB,GHA,3125967.32695619,12.2882057274445
ZMB,GRC,4829084.77426922,11.7898261225516
ZMB,GTM,12525053.5910274,11.0453610171873
ZMB,HKG,9458583.53074103,9.21954445729289
ZMB,HND,11975242.08926,12.5299640861417
ZMB,HRV,5758470.89311412,11.5758369027902
ZMB,HUN,6121026.74856078,12.369316876853
ZMB,IDN,7025960.32759613,11.3578166916005
ZMB,IND,4831382.92947682,9.38083151964686
ZMB,IRL,7537776.54467194,18.1107702762748
ZMB,IRQ,4418303.48702188,9.89949493661167
ZMB,ISR,4212361.63698221,12.1243556529821
ZMB,ITA,5225057.21788986,10.0995049383621
ZWE,JAM,11776143.4901832,2.82842712474619
ZMB,JOR,4195026.4125799,10.2469507659596
ZMB,KAZ,5982145.06213172,15.0332963783729
ZMB,KEN,834289.98582251,11.0905365064094
ZMB,KGZ,6607842.04003364,10.1488915650922
ZMB,KWT,4469475.77346066,10.770329614269
ZMB,LAO,8018606.98994102,8.60232526704263
ZMB,LBN,4612940.13374086,12.4498995979887
ZMB,LBY,3156908.59229653,12.1243556529821
ZMB,MEX,12435946.3166449,12.4899959967968
ZMB,MLI,3685563.86269901,10.5356537528527
ZMB,MMR,7288467.5003914,7.93725393319377
ZWE,MUS,2535815.49698565,14.3874945699382
ZMB,MYS,7543739.85442165,11.2694276695846
ZWE,PRI,10670023.7379763,3.46410161513775
ZMB,SLV,12436078.441285,13.490737563232
ZWE,SWE,8033902.37111708,10.8627804912002
ZWE,THA,7682460.28142495,4.69041575982343
ZWE,TTO,9951742.54718145,6.85565460040104
ZWE,TUR,5751984.5332922,7.74596669241483
ZWE,TZA,610672.15979865,5.47722557505166
ZWE,UGA,1576106.23269967,4
ZWE,URY,7877148.19451824,7.74596669241483
ZWE,USA,11564114.8173166,4.47213595499958
AGO,AFG,5870943.97278242,15.2315462117278
ARE,AFG,624789.70001032,10
ARG,AFG,13662428.641883,11.13552872566
AUS,AFG,7636943.64010198,9.05538513813742
AUT,AFG,3845260.16992671,7.48331477354788
BEL,AFG,4636289.54272887,6.6332495807108
BFA,AFG,6306734.68440761,7.87400787401181
BGD,AFG,1736048.20441125,6.557438524302
BGR,AFG,2915599.58328915,7.14142842854285
BIH,AFG,3638389.52103948,6.78232998312527
BOL,AFG,13645652.2738183,4.12310562561766
BRA,AFG,10874344.5187681,5.56776436283002
BWA,AFG,6527871.9638197,6.70820393249937
CAN,AFG,6309995.97124593,8.66025403784439
CHE,AFG,4345751.76964256,7.87400787401181
CHL,AFG,14731334.9977926,10.3440804327886
CMR,AFG,5102959.00225723,10.5830052442584
COL,AFG,12715347.7747574,17.1172427686237
CRI,AFG,13662802.114308,5.56776436283002
CZE,AFG,3740777.57998102,6.557438524302
DNK,AFG,4099322.54774101,9.53939201416946
DOM,AFG,11981475.5215941,11.7046999107196
ECU,AFG,14037464.2010786,12.2474487139159
EGY,AFG,2460811.02597699,22.8254244210267
ESP,AFG,4943411.49320168,6.16441400296898
EST,AFG,3487937.44420884,11.9582607431014
FIN,AFG,3627110.42792149,10.770329614269
FRA,AFG,4459781.86979765,11.4017542509914
GAB,AFG,5850484.69889853,17.7763888346312
GBR,AFG,4949459.67086939,11.0453610171873
GHA,AFG,6597194.62300104,4.79583152331272
GRC,AFG,2926271.27822401,9.9498743710662
GTM,AFG,13305940.7196557,6.48074069840786
HKG,AFG,4070438.52652914,15.8429795177549
HND,AFG,13240407.7494673,15.7162336455017
HRV,AFG,3655515.43215398,7.61577310586391
HUN,AFG,3421178.16223204,3.3166247903554
IDN,AFG,3954576.8117834,4.35889894354067
IND,AFG,217237.70638259,6.6332495807108
IRL,AFG,5460241.11004746,11.2249721603218
IRQ,AFG,1183900.02894516,12.328828005938
ISR,AFG,2271279.45292103,9.4339811320566
ITA,AFG,3748889.43261365,10.5830052442584
JAM,AFG,12553664.4711765,4.79583152331272
JOR,AFG,1979705.29833061,10.2469507659596
JPN,AFG,4820272.02971628,9.2736184954957
KAZ,AFG,307023.44105141,4
KEN,AFG,3501099.39833969,6.557438524302
KGZ,AFG,104564.58672716,7.28010988928052
KOR,AFG,4482114.95864239,24.8797106092495
KWT,AFG,1204856.9091847,4.69041575982343
LAO,AFG,3043627.35530759,7.74596669241483
LBN,AFG,2194144.53854243,16.8819430161341
LBY,AFG,3294704.10846253,4.35889894354067
LKA,AFG,2647646.05501791,7.93725393319377
MDA,AFG,2850348.37215703,15.9059737205869
MEX,AFG,12078081.55909,16.4924225024706
MLI,AFG,5759173.05956566,9.8488578017961
MMR,AFG,2239082.66013457,9.1104335791443
MOZ,AFG,4986471.78961621,7.34846922834953
MUS,AFG,5517100.95431405,14.560219778561
MYS,AFG,4238460.22040432,6.08276253029822
NER,AFG,4571003.34805047,2.64575131106459
NGA,AFG,5143845.14711801,4.12310562561766
NLD,AFG,4583485.74324898,8.54400374531753
NOR,AFG,4115786.33155733,12.7671453348037
NZL,AFG,12578218.0624502,11.7046999107196
OMN,AFG,583786.93348076,13.856406460551
PAK,AFG,0,9.53939201416946
PAN,AFG,13453563.7780511,6.08276253029822
PER,AFG,13821852.3732037,4.24264068711928
PHL,AFG,4857549.92687675,3.3166247903554
POL,AFG,3395087.61899698,6.557438524302
PRI,AFG,11807799.838682,5
PRT,AFG,5752665.89952102,10.6301458127346
PRY,AFG,13631591.8061984,6.6332495807108
QAT,AFG,1013957.68043435,7.54983443527075
ROU,AFG,2854632.31764161,3.16227766016838
RWA,AFG,4708327.67456722,3.16227766016838
SAU,AFG,974835.41504657,3.46410161513775
SGP,AFG,4951140.62663751,9.53939201416946
SLV,AFG,13619607.593753,4
SVK,AFG,3467654.33717749,6.16441400296898
SVN,AFG,3883710.67831155,7.93725393319377
SWE,AFG,3943081.15086466,11.3578166916005
THA,AFG,2965579.10453277,6.40312423743285
TTO,AFG,11985536.3606202,7.07106781186548
TUR,AFG,1458423.84195028,8.18535277187245
TZA,AFG,4412918.26125435,7.14142842854285
UGA,AFG,4012078.93143778,3.87298334620742
URY,AFG,13837471.5652113,9.4339811320566
USA,AFG,7195429.5686191,4.58257569495584
VEN,AFG,12137277.4611632,11.2249721603218
VNM,AFG,3085951.38475711,16.2480768092719
ZAF,AFG,6613761.86674829,9.48683298050514
