"g1name","g2name","value"
"ARE","ARE",0
"ARG","ARE",0.26676016880272
"AUT","ARE",0.460565483558945
"AUS","ARE",0.409290784852555
"BEL","ARE",0.281218858801923
"BGR","ARE",0.309634054762515
"BRA","ARE",0.271846845467258
"CAN","ARE",0.35137427975896
"CHE","ARE",0.399885505068024
"CHL","ARE",0.0930908979377061
"COL","ARE",0.255640070789215
"CZE","ARE",0.433197721192218
"DEU","ARE",0.312508593352893
"DNK","ARE",0.277037957069864
"EST","ARE",0.264144476363514
"EGY","ARE",0.390324814747599
"ESP","ARE",0.124299994860244
"FIN","ARE",0.332692110851329
"FRA","ARE",0.268979669369738
"GBR","ARE",0.196402507068544
"GRC","ARE",0.273091071872532
"HRV","ARE",0.256149462556347
"HUN","ARE",0.303468217618399
"IDN","ARE",0.308186855234715
"IRL","ARE",0.166494699814449
"ITA","ARE",0.243927810541108
"JPN","ARE",0.444075729597343
"KEN","ARE",0.825571889589882
"KWT","ARE",0.224485474421815
"LTU","ARE",0.290728406125795
"LVA","ARE",0.499236820430336
"MUS","ARE",0.32650782008244
"MEX","ARE",0.265861004117049
"NGA","ARE",0.674841534846376
"NLD","ARE",0.313255514494859
"NOR","ARE",0.337254716286155
"NZL","ARE",0.262698018789937
"PER","ARE",0.202208876382151
"POL","ARE",0.290246569196045
"PRT","ARE",0.160556122643581
"ROU","ARE",0.274589026843496
"SAU","ARE",0.17763005188154
"SWE","ARE",0.291736602579308
"SVN","ARE",0.468587349813266
"SVK","ARE",0.428681004507445
"USA","ARE",0.411854162701565
"URY","ARE",0.282332502916339
"ZAF","ARE",0.31881486552072
"ARE","ARG",0.26676016880272
"ARG","ARG",0
"AUT","ARG",0.38859879582129
"AUS","ARG",0.322377436176576
"BEL","ARG",0.0758080995765489
"BGR","ARG",0.480248828212951
"BRA","ARG",0.0650431319857265
"CAN","ARG",0.274290371431997
"CHE","ARG",0.499830624119788
"CHL","ARG",0.200140960740759
"COL","ARG",0.380593065695896
"CZE","ARG",0.344926958342359
"DEU","ARG",0.164380329932747
"DNK","ARG",0.0572596767594162
"EST","ARG",0.484818754231963
"EGY","ARG",0.461410633214341
"ESP","ARG",0.390472901155231
"FIN","ARG",0.249913818813214
"FRA","ARG",0.0581218794245215
"GBR","ARG",0.364124019832258
"GRC","ARG",0.0471730616379175
"HRV","ARG",0.440975050490256
"HUN","ARG",0.212864665750135
"IDN","ARG",0.165621134340872
"IRL","ARG",0.364716604066004
"ITA","ARG",0.0629123975595116
"JPN","ARG",0.367936915368949
"KEN","ARG",0.917867259449924
"KWT","ARG",0.0775899093308201
"LTU","ARG",0.316230516189981
"LVA","ARG",0.597675347591071
"MUS","ARG",0.438146236184045
"MEX","ARG",0.0313307532764895
"NGA","ARG",0.761949438184579
"NLD","ARG",0.168026945354487
"NOR","ARG",0.221976270121264
"NZL","ARG",0.46090443635711
"PER","ARG",0.418451953270728
"POL","ARG",0.110173777503869
"PRT","ARG",0.266405188645584
"ROU","ARG",0.138594079963532
"SAU","ARG",0.189080880957325
"SWE","ARG",0.273884485970444
"SVN","ARG",0.527033529350953
"SVK","ARG",0.340005688367822
"USA","ARG",0.319153490810136
"URY","ARG",0.413139173834205
"ZAF","ARG",0.180102225353168
"ARE","AUT",0.460565483558945
"ARG","AUT",0.38859879582129
"AUT","AUT",0
"AUS","AUT",0.199695088994831
"BEL","AUT",0.342576479817206
"BGR","AUT",0.479310439677438
"BRA","AUT",0.338880754745913
"CAN","AUT",0.189120808969822
"CHE","AUT",0.419937967345306
"CHL","AUT",0.408538445583378
"COL","AUT",0.555850308314376
"CZE","AUT",0.0465929297897819
"DEU","AUT",0.241612694172028
"DNK","AUT",0.391968738309439
"EST","AUT",0.497708657250089
"EGY","AUT",0.30106856284278
"ESP","AUT",0.545399896866851
"FIN","AUT",0.270350849644691
"FRA","AUT",0.367337728698943
"GBR","AUT",0.368357678260863
"GRC","AUT",0.369103159113241
"HRV","AUT",0.426124431130683
"HUN","AUT",0.187572706318966
"IDN","AUT",0.246458253167539
"IRL","AUT",0.410720621365245
"ITA","AUT",0.388483312139654
"JPN","AUT",0.251435015305994
"KEN","AUT",0.713996384446453
"KWT","AUT",0.334631632752235
"LTU","AUT",0.345437111846021
"LVA","AUT",0.458724417010792
"MUS","AUT",0.399234644441697
"MEX","AUT",0.375561659113267
"NGA","AUT",0.715026810778439
