"country","Grocerypharmacy","Parks","Residential","Retailrecreation","Transitstations","Workplace","mean"
"AE",0.44306,"0.80847",0.87553,0.76976,0.89644,0.75025,0.747008
"AF",0.49331,"0.46468",0.62741,0.6015,0.71819,0.63138,0.614358
"AO",0.35586,"0.53222",0.51004,0.52507,0.64343,0.37157,0.481194
"AR",0.54896,"0.77156",0.71118,0.81255,0.70979,0.63198,0.682892
"AT",0.46377,"0.61502",0.64058,0.68812,0.70742,0.52279,0.604536
"AU",0.35955,"0.74903",0.82484,0.79312,0.82085,0.75541,0.710754
"AW",0.54045,"0.65229",0.48255,0.63629,0.64401,0.58647,0.577954
"BA",0.60945,"0.49511",0.80349,0.77881,0.76734,0.78114,0.748046
"BB",0.58987,"0.74952",0.70121,0.79408,0.82697,0.76535,0.735496
"BD",0.70687,"0.7438",0.7989,0.76124,0.76348,0.72556,0.75121
"BE",0.51448,"0.43714",0.75141,0.74986,0.7354,0.69124,0.688478
"BF",0.69639,"0.65481",0.77901,0.72076,0.728,0.60421,0.705674
"BG",0.51968,"0.58121",0.68443,0.62752,0.72155,0.63258,0.637152
"BH",0.76331,"0.7953",0.90422,0.8657,0.87228,0.83579,0.84826
"BO",0.63234,"0.71123",0.71613,0.70822,0.70127,0.6646,0.684512
"BR",0.41076,"0.72811",0.59091,0.63409,0.61013,0.4866,0.546498
"BW",NA,NA,0.80734,0.40714,0.52429,0.74082,0.6198975
"BZ",0.21922,"0.64521",0.58948,0.66513,0.7061,0.58096,0.552178
"CA",0.4288,"0.51144",0.77802,0.71562,0.79662,0.75078,0.693968
"CH",0.3265,NA,0.81701,0.77722,0.80362,0.64271,0.673412
"CL",0.55712,"0.65644",0.7258,0.65169,0.68906,0.6038,0.645494
"CM",0.74438,"0.72314",0.65648,0.78323,0.76249,0.70415,0.730146
"CO",0.46355,"0.65643",0.66779,0.67316,0.64196,0.64276,0.617844
"CR",0.69307,"0.8568",0.84069,0.84574,0.85708,0.79282,0.80588
"CZ",0.42433,"0.41326",0.79155,0.76099,0.77703,0.71376,0.693532
"DE",0.35298,NA,0.68277,0.7103,0.73365,0.58926,0.613792
"DK",0.48383,"-0.49539",0.56022,0.47173,0.62013,0.57366,0.541914
"DO",0.54688,"0.73855",0.67087,0.69799,0.70936,0.5973,0.64448
"EC",0.49485,"0.63035",0.72184,0.58506,0.58996,0.62799,0.60394
"EE",0.70901,NA,0.71992,0.77571,0.77841,0.71746,0.740102
"EG",0.5784,"0.6746",0.72993,0.74474,0.72232,0.71159,0.697396
"ES",0.57423,"0.72132",0.75433,0.75997,0.78023,0.70987,0.715726
"FI",0.50944,"-0.40817",0.71925,0.78201,0.76557,0.58334,0.671922
"FR",0.41803,"0.71439",0.61435,0.70168,0.67109,0.49113,0.579256
"GA",0.58555,"0.37631",0.7062,0.5981,0.60221,0.57748,0.613908
"GB",0.53021,"0.50232",0.77848,0.75647,0.78394,0.78685,0.72719
"GH",0.5136,"0.78256",0.82691,0.80964,0.78331,0.63777,0.714246
"GR",NA,"0.29026",0.36228,0.37173,0.39649,0.3362,0.366675
"GT",0.54557,"0.676",0.7642,0.6885,0.7497,0.66644,0.682882
"HK",NA,"0.29697",0.56657,0.68646,0.6777,0.67276,0.6508725
"HN",0.36419,"0.54372",0.52274,0.55465,0.54188,0.47562,0.491816
"HR",0.52717,"0.57535",0.74791,0.77009,0.77522,0.67412,0.698902
"HU",0.33378,"0.39391",0.56477,0.55981,0.59371,0.55821,0.522056
"ID",0.56492,"0.6455",0.76362,0.63732,0.71852,0.60791,0.658458
"IE",0.47384,"0.24652",0.67509,0.76613,0.75334,0.62346,0.658372
"IL",0.35448,"0.65143",0.76177,0.79566,0.79529,0.72685,0.68681
"IN",0.58297,"0.7716",0.79184,0.79241,0.77086,0.6949,0.726596
"IQ",0.43166,"0.56443",0.5956,0.58958,0.60865,0.57899,0.560896
"IT",0.64881,"0.78113",0.81009,0.82974,0.83711,0.86046,0.797242
"JM",0.56179,"0.77007",0.7288,0.72894,0.7696,0.66781,0.691388
"JO",0.51097,"0.69042",0.71386,0.71335,0.84537,0.69691,0.696092
"JP",NA,"-0.2331",0.58811,0.42361,0.55028,0.66215,0.5560375
"KE",0.56875,"0.75401",0.70055,0.69279,0.7344,0.53845,0.646988
"KG",0.48825,"0.51007",0.57855,0.62997,0.48144,0.6565,0.566942
"KR",-0.3666,"-0.56345",NA,NA,-0.1836,NA,-0.2751
"KW",0.76458,"0.71859",0.788,0.77392,0.80352,0.76168,0.77834
"KZ",0.54767,"0.52592",0.67432,0.69326,0.5578,0.60005,0.61462
"LA",0.79949,"0.7524",0.84385,0.86409,0.81452,0.57042,0.778474
"LB",0.56292,"0.64268",0.77796,0.73012,0.81871,0.77328,0.732598
"LK",0.43737,"0.59513",0.54506,0.52664,0.5039,0.46655,0.495904
"LU",0.50805,"0.58695",0.65164,0.69276,0.73,0.65756,0.648002
"LY",0.566,"0.60531",0.67822,0.73621,0.79733,0.69058,0.693668
"MD",0.60485,"0.63593",0.71191,0.65924,0.69041,0.68607,0.670496
"ML",0.67319,"0.54755",0.83045,0.7556,0.74096,0.76146,0.752332
"MM",0.55174,"0.61747",0.80275,0.76561,0.76205,0.5461,0.68565
"MN",0.27271,"0.42203",0.36383,0.30288,0.36056,0.45624,0.351244
"MU",0.55184,"0.58709",0.54795,0.61389,0.61681,0.56282,0.578662
"MX",0.47984,"0.72729",0.72493,0.66338,0.73901,0.64896,0.651224
"MY",0.50933,"0.63288",0.69339,0.70931,0.60925,0.74243,0.652742
"MZ",0.57089,"0.73165",0.74365,0.73041,0.73839,0.64231,0.68513
"NA",0.43141,"0.65778",0.72008,0.58621,0.64006,0.68486,0.612524
"NE",0.62433,"0.69908",0.66961,0.76395,0.76447,0.60643,0.685758
"NG",0.52428,"0.76692",0.83519,0.79539,0.77944,0.75207,0.737274
"NI",NA,"0.38439",0.27907,0.3404,0.34077,NA,0.32008
"NL",0.35655,NA,0.65515,0.67216,0.71305,0.55427,0.590236
"NO",0.38373,"-0.181",0.73011,0.60686,0.73388,0.69074,0.629064
"NZ",0.36714,"0.8011",0.77298,0.77516,0.796,0.60634,0.663524
"OM",0.72541,"0.75062",0.83274,0.79652,0.81789,0.81713,0.797938
"PA",0.24401,"0.30597",0.2769,0.29281,0.27336,0.18772,0.25496
"PE",0.52668,"0.78185",0.76294,0.74443,0.79762,0.64356,0.695046
"PG",0.39017,"0.33655",0.31428,0.412,0.35635,0.33985,0.36253
"PH",0.29271,"0.43464",0.45663,0.47655,0.48105,0.38855,0.419098
"PK",0.54005,"0.63116",0.77734,0.69555,0.64869,0.68257,0.66884
"PL",0.38583,"0.63743",0.68965,0.58539,0.65881,0.64323,0.592582
"PR",0.30895,"0.54488",0.50303,0.5316,0.53133,0.43422,0.461826
"PT",0.59241,"0.72528",0.73428,0.74603,0.8063,0.73177,0.722158
"PY",0.77082,"0.7946",0.79919,0.81417,0.80566,0.77995,0.793958
"QA",0.60314,"0.81357",0.88195,0.7279,0.84072,0.7537,0.761482
"RO",0.48206,"0.6065",0.70239,0.67362,0.68558,0.68628,0.645986
"RW",0.64218,"0.60688",0.73387,0.67562,0.68991,0.652,0.678716
"SA",0.55926,"0.74395",0.79276,0.69257,0.87669,0.76947,0.73815
"SE",0.35507,"-0.47628",0.7404,0.65626,0.73543,0.67978,0.633388
"SG",-0.31518,"0.48075",0.80129,0.62566,0.77203,0.67824,0.512408
"SI",0.59982,"0.57749",0.70766,0.74904,0.67283,0.63569,0.673008
"SK",0.42347,"0.34094",0.75708,0.74435,0.74619,0.73597,0.681412
"SV",0.47634,"0.72377",0.74443,0.74253,0.73272,0.71024,0.681252
"TH",0.7086,"0.83",0.90152,0.84556,0.89315,0.77017,0.8238
"TR",0.59215,"0.73791",0.76222,0.76706,0.77516,0.7553,0.730378
"TT",0.53785,"0.86782",0.77761,0.81726,0.88248,0.63618,0.730276
"TW",-0.3298,NA,NA,0.17995,0.28799,NA,0.0460466666666667
"TZ",0.18361,"0.63012",0.63468,0.703,0.5564,0.68262,0.552062
"UG",0.55089,"0.69057",0.75325,0.75778,0.73041,0.74669,0.707804
"US",0.31731,"0.59097",0.72845,0.67734,0.75618,0.71856,0.639568
"UY",0.6782,"0.7383",0.71777,0.73542,0.71146,0.64308,0.697186
"VE",0.56016,"0.70959",0.68747,0.64118,0.64535,0.48029,0.60289
"VN",0.68976,"0.68313",0.6683,0.69269,0.6946,0.63524,0.676118
"ZA",0.38421,"0.6487",0.67982,0.58456,0.7587,0.70041,0.62154
"ZM",NA,"0.33654",0.56407,0.53326,0.61687,0.51021,0.5561025
"ZW",0.36146,"0.74366",0.75306,0.71562,0.6814,0.53766,0.60984
