"country" "grocerypharmacy" "parks" "residential" "retailrecreation" "transitstations" "workplace" "avg"
"AE" 38.68487 "21.34365" 63.76127 21.39496 16.23988 38.91462 35.79912
"AF" 38.19987 "58.26876" 55.94704 25.97738 23.11184 32.24458 35.096142
"AO" 37.31169 "28.65957" 38.51911 17.74804 18.06168 24.49922 27.227948
"AR" 39.81537 "20.20536" 65.18214 20.63895 27.95279 32.69495 37.25684
"AT" 60.91137 "55.71432" 69.11973 28.07283 26.01053 35.43434 43.90976
"AU" 69.09015 "48.28369" 39.30592 34.94634 39.53318 44.36659 45.448436
"AW" 39.85347 "19.84368" NA 16.30882 16.46082 11.9501 21.1433025
"BA" 50.74648 "59.31913" 79.36017 31.77812 36.64357 47.51203 49.208074
"BB" 34.04382 "72.2921" NA 33.17361 NA NA 33.608715
"BD" 40.63906 "56.61462" 68.23809 33.14315 33.40431 37.11728 42.508378
"BE" 55.211 "48.26717" 54.91194 19.35157 25.71034 29.9669 37.03035
"BF" 69.29127 "74.43205" 74.0917 59.88197 44.54177 64.51106 62.463554
"BG" 44.84164 "101.25432" 60.71219 31.41664 31.59006 33.93621 40.499348
"BO" 25.16358 "21.67334" 32.26802 24.43102 22.18657 21.81707 25.173252
"BR" 44.36094 "26.74485" 53.51022 24.28568 24.25848 30.11858 35.30678
"BW" 55.29608 "67.23381" 48.89726 32.78677 26.73225 30.30762 38.803996
"BZ" 46.96075 "41.65516" NA 21.97875 NA NA 34.46975
"CA" 41.84631 "55.31875" 52.09733 23.62532 14.66488 25.13596 31.47396
"CH" 51.60929 "94.19168" 53.56187 16.39856 27.53084 29.30027 35.680166
"CL" 26.08657 "13.01154" 49.73246 12.55297 16.84242 30.33246 27.109376
"CM" 53.5628 "50.27378" 58.45881 44.21523 46.92945 38.96857 48.426972
"CO" 30.13571 "16.23521" 48.46866 24.6314 31.29539 37.63424 34.43308
"CR" 30.46314 "17.00133" 60.38815 17.7623 17.00537 22.74455 29.672702
"CZ" 56.70816 "54.70958" 64.0193 27.01761 32.82614 32.15859 42.54596
"DE" 78.57 "106.45279" 49.96932 43.19433 35.30909 31.74074 47.756696
"DK" 74.8228 "204.33785" 75.43118 51.68917 34.74166 31.50955 53.638872
"DO" 22.93051 "17.68055" 49.57393 13.58857 10.79524 18.0207 22.98179
"EC" 40.05299 "21.47536" 56.55696 22.63881 19.63589 20.1136 31.79965
"EE" 54.22107 "89.55589" 57.31269 28.63442 27.00036 28.12086 39.05788
"EG" 51.80267 "44.65382" 81.85571 29.11439 28.38245 47.56677 47.744398
"ES" 47.84471 "33.2969" 53.98775 17.83283 22.50222 28.91614 34.21673
"FI" 56.20321 "129.02891" 66.60804 31.48986 29.8647 27.2046 42.274082
"FR" 85.07429 "55.53436" 58.97144 39.18241 41.88051 39.35985 52.8937
