"Category" "Mean" "Median" "Standard deviation"
"Grocerypharmacy" "0.489" "0.524" "0.193"
"Parks" "0.569" "0.645" "0.28"
"Residential" "0.696" "0.72" "0.125"
"Retailrecreation" "0.677" "0.706" "0.128"
"Transitstations" "0.691" "0.73" "0.152"
"Workplace" "0.643" "0.657" "0.114"
