2020-02-15,7.14,,
2020-02-16,7.14,,
2020-02-17,7.14,,
2020-02-18,7.14,,
2020-02-19,7.14,,
2020-02-20,7.14,,
2020-02-21,7.14,,
2020-02-22,7.14,,
2020-02-23,7.14,,
2020-02-24,7.14,,
2020-02-25,7.14,,
2020-02-26,7.14,,
2020-02-27,14.29,,
2020-02-28,14.29,,
2020-02-29,14.29,,
2020-03-01,14.29,,
2020-03-02,14.29,,
2020-03-03,14.29,,
2020-03-04,14.29,1,0
2020-03-05,14.29,,
2020-03-06,14.29,,
2020-03-07,14.29,5,0
2020-03-08,14.29,6,0
2020-03-09,19.05,11,0
2020-03-10,33.33,17,0
2020-03-11,33.33,22,0
2020-03-12,57.14,31,0
2020-03-13,71.43,49,1
2020-03-14,71.43,68,2
2020-03-15,80.95,104,3
2020-03-16,80.95,125,3
2020-03-17,80.95,177,4
2020-03-18,80.95,238,5
2020-03-19,80.95,287,5
2020-03-20,80.95,355,5
2020-03-21,80.95,425,5
2020-03-22,80.95,536,5
2020-03-23,80.95,634,7
2020-03-24,80.95,749,8
2020-03-25,80.95,901,10
2020-03-26,80.95,1051,14
2020-03-27,80.95,1221,16
2020-03-28,80.95,1389,16
2020-03-29,80.95,1638,18
2020-03-30,80.95,1862,22
2020-03-31,85.71,2055,31
2020-04-01,85.71,2311,33
2020-04-02,85.71,2554,43
2020-04-03,85.71,2946,57
2020-04-04,85.71,3383,71
2020-04-05,85.71,3627,79
2020-04-06,85.71,4102,94
2020-04-07,85.71,4413,107
2020-04-08,85.71,4848,129
2020-04-09,95.24,5205,159
2020-04-10,95.24,5575,174
2020-04-11,95.24,5955,181
