2020-02-15,23.81,0,0
2020-02-16,23.81,0,0
2020-02-17,23.81,0,0
2020-02-18,23.81,0,0
2020-02-19,23.81,0,0
2020-02-20,23.81,0,0
2020-02-21,23.81,0,0
2020-02-22,23.81,0,0
2020-02-23,23.81,0,0
2020-02-24,23.81,0,0
2020-02-25,23.81,2,0
2020-02-26,23.81,4,0
2020-02-27,23.81,4,0
2020-02-28,23.81,6,0
2020-02-29,23.81,6,0
2020-03-01,23.81,6,0
2020-03-02,23.81,6,0
2020-03-03,23.81,7,0
2020-03-04,23.81,,
2020-03-05,23.81,15,0
2020-03-06,23.81,16,0
2020-03-07,23.81,,
2020-03-08,23.81,,
2020-03-09,23.81,,
2020-03-10,23.81,18,0
2020-03-11,23.81,18,0
2020-03-12,23.81,,
2020-03-13,23.81,,
2020-03-14,23.81,20,0
2020-03-15,38.1,20,0
2020-03-16,38.1,22,0
2020-03-17,52.38,24,0
2020-03-18,66.67,24,0
2020-03-19,66.67,39,0
2020-03-20,66.67,39,0
2020-03-21,66.67,48,0
2020-03-22,76.19,52,0
2020-03-23,76.19,55,0
2020-03-24,76.19,66,0
2020-03-25,76.19,84,0
2020-03-26,76.19,99,0
2020-03-27,90.48,109,0
2020-03-28,90.48,131,0
2020-03-29,95.24,152,0
2020-03-30,95.24,167,0
2020-03-31,95.24,179,0
2020-04-01,100,192,1
2020-04-02,100,210,1
2020-04-03,95.24,231,1
2020-04-04,95.24,231,1
2020-04-05,95.24,277,2
2020-04-06,100,298,2
2020-04-07,100,371,2
2020-04-08,100,419,2
2020-04-09,100,419,2
2020-04-10,100,457,3
2020-04-11,100,484,3
