country,Human development index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
Czechia,0.890754657933538,79.222,16.83158,12.74035051,31597.07111,12,27
France,0.891056777724811,82.541,15.4858,11.41703591,40510.78081,0,26
Malta,0.885265683122447,82.376,15.89665,11.28811066,34795.17858,6,28
Italy,0.882583978567803,83.352,16.2469,10.24509,36141.42829,2,29
Estonia,0.881542297895028,78.567,16.06362,13.0290394,30378.62982,10,30
Cyprus,0.872955393887627,80.828,14.67400082,12.10394114,33100.31857,5,31
Greece,0.871952125926398,82.072,17.33672,10.53957898,24909.34008,20,31
Poland,0.871767867896917,78.544,16.4332,12.29398111,27625.79535,13,33
Lithuania,0.869307679134763,75.737,16.49953,12.96103366,29775.26288,7,34
United Arab Emirates,0.866437670203764,77.814,13.64343,10.95412,66911.66289,-28,35
Andorra,0.856781345024909,81.786,13.30023874,10.15545101,48640.89418,-20,38
Saudi Arabia,0.856962813134503,74.998,16.9791,9.67145098,49338.40957,-22,36
Slovakia,0.8568782254854,77.388,14.53309,12.60562251,30671.87284,3,37
Latvia,0.853901518579769,75.172,15.98269,12.82536903,26300.76872,10,39
Portugal,0.85021161872586,81.857,16.29655,9.190958665,27935.3848,4,40
Qatar,0.848440767290782,80.1,12.17887,9.66734,110488.7358,-40,40
Chile,0.846947981694198,80.042,16.53156,10.4469855,21972.27872,17,42
Brunei Darussalam,0.844586934536554,75.722,14.3801,9.1,76388.54336,-39,43
Hungary,0.844699935545314,76.701,15.11709,11.88941481,27144.21153,4,44
Bahrain,0.837770190229584,77.163,15.25713,9.411832983,40399.11872,-18,45
Croatia,0.837313319411774,78.342,14.96245,11.40518282,23060.96179,9,46
Oman,0.833789433053369,77.633,14.6641,9.731845912,37039.23091,-18,47
Argentina,0.830095812117932,76.52,17.63836,10.56496472,17611.21813,18,48
Russian Federation,0.824037890143063,72.386,15.53573,12.01999,25036.02024,2,49
Belarus,0.817067987091786,74.59,15.35894,12.30584324,17038.52852,18,50
Kazakhstan,0.817243848840448,73.236,15.26522,11.784,22167.69698,8,51
Bulgaria,0.815710786220969,74.928,14.81046,11.81482978,19645.936,9,51
Montenegro,0.815933999647698,76.77,15.03186,11.38676801,17510.70768,15,51
Romania,0.815569656463036,75.924,14.26345,10.97836,23905.77107,2,51
Palau,0.81424585507881,73.678,15.5532,12.4,16720.01271,14,56
Barbados,0.813310489264994,79.081,15.15573,10.5569,15912.27757,18,51
Kuwait,0.808352434510086,75.398,13.7588,7.275667996,71164.21501,-52,57
Uruguay,0.807763814153577,77.77,16.34484,8.728716877,19434.85186,5,58
Turkey,0.806490175910848,77.437,16.439128,7.667909126,24905.38066,-6,59
Bahamas,0.805483273566233,73.752,12.82263,11.533,28395.39613,-17,60
Malaysia,0.80418584779664,75.997,13.46876,10.15999793,27226.67561,-15,61
Seychelles,0.801394514797042,73.333,15.45254,9.672806259,25076.87309,-12,62
Serbia,0.799259784748954,75.849,14.76615,11.18071012,15217.69707,15,65
Trinidad and Tobago,0.799028478624285,73.38,12.96,11.02594007,28497.37072,-21,63
Iran (Islamic Republic of),0.797483335773824,76.479,14.72684125,10.01153929,18166.46754,-2,63
Mauritius,0.796406212447762,74.863,14.96984,9.43,22724.23479,-10,66
Panama,0.795054699396876,78.329,12.88063,10.17,20454.87351,-7,66
Costa Rica,0.793519946378668,80.095,15.37714,8.6671837,14789.93488,12,68
Albania,0.791405876179537,78.458,15.23,10.0546184,12299.79934,20,69
Georgia,0.786359091897723,73.6,15.43314,12.81457,9569.522105,34,70
Sri Lanka,0.780114782034158,76.812,13.96532,11.05175,11610.90818,24,72
Cuba,0.777714508577505,78.726,14.37023,11.7507808,7811.358181,43,71
Saint Kitts and Nevis,0.776814604990099,74.564,13.608,8.5,26770.07268,-25,73
Antigua and Barbuda,0.776163151213478,76.885,12.45249,9.263093809,22201.22944,-17,73
Bosnia and Herzegovina,0.769187275316695,77.262,13.78761333,9.692916034,12689.68076,10,75
Mexico,0.767447245379146,74.992,14.29736,8.60085,17628.11729,-11,76
Thailand,0.764604937584903,76.931,14.6502963,7.731400914,16128.54767,-6,77
Grenada,0.763383380917163,72.384,16.60448,8.8,12683.83386,8,78
Brazil,0.76115282282461,75.672,15.39694,7.84104675,14068.04766,2,78
Colombia,0.760894930926648,77.109,14.59814,8.3265809,12895.59491,4,78
Armenia,0.760010886473831,74.945,13.16837,11.793905,9277.232829,26,81
Algeria,0.758977696706234,76.693,14.7193787,7.986547848,13639.43491,0,81
North Macedonia,0.759422336001137,75.688,13.4639834,9.680116533,12873.75376,2,81
Peru,0.759103573999389,76.516,13.8474129,9.215395842,12322.65681,6,85
China,0.757587428748823,76.704,13.88891653,7.9,16126.56804,-13,86
Ecuador,0.757916350872878,76.8,14.92304375,8.98551,10141.14555,17,84
Azerbaijan,0.75386866073575,72.864,12.40123094,10.47972,15240.14392,-10,87
Ukraine,0.749745951643767,71.953,15.07384705,11.34,7994.213212,25,88
Dominican Republic,0.744640742308084,73.892,14.14082,7.935346002,15074.25844,-10,90
Saint Lucia,0.744931243501808,76.057,13.87278,8.491487756,11528.36709,7,89
Tunisia,0.739200558575807,76.505,15.10152,7.172257455,10676.96362,10,91
Mongolia,0.734683997229871,69.689,14.20655,10.17198276,10783.71204,7,94
Lebanon,0.730077891141781,78.875,11.28587,8.7,11136.2495,5,93
Botswana,0.727787113644473,69.275,12.69723496,9.33,15951.3304,-21,97
Saint Vincent and the Grenadines,0.727864562553523,72.415,13.57174,8.616537748,11746.44618,-2,95
Jamaica,0.725679363984711,74.368,13.1407323,9.796912678,7931.516349,18,96
Venezuela (Bolivarian Republic of),0.725773449254529,72.128,12.81608,10.32342591,9069.697911,14,92
Dominica,0.723788028755894,78.119,12.966179,7.8,9245.160148,10,98
Fiji,0.723698869420023,67.341,14.42733083,10.884,9110.441609,11,102
Paraguay,0.724347661798462,74.131,12.68985207,8.450439127,11719.95898,-5,99
Suriname,0.723692874539399,71.57,12.85875,9.125367134,11932.99266,-8,99
Jordan,0.723445120391015,74.405,11.8767423,10.452,8267.805545,10,99
Belize,0.720169787036352,74.496,13.12334,9.795835793,7135.969704,17,103
Maldives,0.718707078114338,78.627,12.118009,6.818,12549.25505,-17,105
Tonga,0.717430361289233,70.801,14.3,11.21,5782.568173,26,104
Philippines,0.711860206902447,71.095,12.72245333,9.393091398,9539.697881,-1,106
Moldova (Republic of),0.711451586216115,71.808,11.61391,11.56275474,6833.107979,16,106
Turkmenistan,0.710130828934264,68.073,10.88933112,9.78,16407.47046,-38,108
Uzbekistan,0.710477618283585,71.573,12.01214,11.52496134,6461.84249,18,109
Libya,0.707567974206122,72.724,12.789937,7.56,11684.73341,-16,111
Indonesia,0.706857949708208,71.509,12.9155945,7.976152649,11255.78107,-14,111
Samoa,0.706770761956278,73.187,12.52,10.59494988,5884.838411,18,110
South Africa,0.704937482749286,63.857,13.66788,10.24064634,11756.29842,-22,111
Bolivia (Plurinational State of),0.702842353222393,71.239,14.01306,9.017540839,6849.20187,8,114
Gabon,0.701625266147753,66.187,12.9,8.320069671,15794.07816,-40,114
Egypt,0.699726797920563,71.825,13.1048325,7.326,10743.80596,-16,116
Marshall Islands,0.697589283954224,73.861,12.39008,10.8856786,4633.4778,21,116
Viet Nam,0.692669296545327,75.317,12.692323,8.2,6220.265849,10,118
"Palestine, State of",0.690017032543725,73.895,12.84295,9.104641383,5313.833056,15,119
Iraq,0.688784073662805,70.454,11.148673,7.316,15364.95568,-44,120
Morocco,0.676439334914174,76.453,13.0675557,5.514,7479.592067,-3,121
Kyrgyzstan,0.67420282975007,71.321,13.36096,10.88040163,3316.79327,30,122
Guyana,0.670296096453139,69.774,11.47262358,8.46676505,7615.416702,-7,123
El Salvador,0.66668101830167,73.096,12.03557,6.942757762,6973.458016,-3,124
Tajikistan,0.656039110202384,70.879,11.40786,10.67167179,3482.378737,26,126
Cabo Verde,0.650692937500233,72.782,11.86684,6.244572753,6513.490765,-1,128
Guatemala,0.651035337183963,74.063,10.62148,6.467886134,7377.915813,-7,127
Nicaragua,0.651104261263509,74.275,12.20689607,6.796,4789.840116,11,125
India,0.646901099922656,69.416,12.34981,6.452132788,6828.601528,-5,129
Namibia,0.645037374021761,63.373,12.63338796,6.94,9682.661774,-27,129
Timor-Leste,0.625887057433738,69.26,12.39822,4.537876912,7526.658774,-14,131
Honduras,0.622981471060965,75.088,10.20793667,6.5964413,4258.345021,7,133
Kiribati,0.623243758584917,68.116,11.81000261,7.865527643,3917.433007,11,132
Bhutan,0.617298752281719,71.46,12.12799313,3.137561559,8609.115446,-23,134
Bangladesh,0.613679337404609,72.32,11.20449,6.06183,4057.250181,6,136
Micronesia (Federated States of),0.614157809071526,67.755,11.54947988,7.717375215,3700.096885,10,135
Sao Tome and Principe,0.608556189413203,70.17,12.68717,6.436763183,3024.430752,20,138
Congo,0.608499599934289,64.29,11.60205989,6.502271707,5803.88345,-8,136
Eswatini (Kingdom of),0.608081783662635,59.401,11.37879,6.747809563,9359.112658,-32,138
Lao People's Democratic Republic,0.604069321859048,67.61,11.05725,5.202,6316.520863,-13,140
Vanuatu,0.5968483119671,70.323,11.4168879,6.84,2807.860156,17,141
Ghana,0.595669716475157,63.78,11.51923,7.184,4098.860341,-2,142
Zambia,0.591462439752522,63.51,12.06104,7.104178868,3581.886613,7,144
Equatorial Guinea,0.588421644686769,58.402,9.2,5.550890776,17795.54159,-80,143
Myanmar,0.584252196135046,66.867,10.3154,4.953399443,5763.943772,-13,146
Cambodia,0.581484980250685,69.57,11.33676945,4.844,3597.396365,2,145
Kenya,0.578587728014701,66.342,11.06424,6.564,3051.689885,9,148
Nepal,0.579485269773784,70.478,12.1952,4.856,2748.200382,13,148
Angola,0.574487757656951,60.782,11.777202,5.125459533,5554.697384,-16,147
Cameroon,0.562725314054388,58.921,12.7494,6.2917,3291.127921,3,150
Zimbabwe,0.563100168817114,61.195,10.45108,8.342245697,2661.072065,12,153
Pakistan,0.560446359428312,67.114,8.46498,5.158944258,5190.07941,-17,151
Solomon Islands,0.557341016042723,72.835,10.22041433,5.54073206,2026.724743,13,152
Syrian Arab Republic,0.548903220928628,71.779,8.8501,5.1,2725.189347,7,154
Papua New Guinea,0.543075622863265,64.263,9.99646,4.62,3685.79897,-9,155
Comoros,0.537825656164943,64.118,11.23886102,4.908531258,2426.385781,7,156
Rwanda,0.536014720097445,68.7,11.16659,4.417150539,1958.611877,11,158
Nigeria,0.534136286019714,54.332,9.746414,6.4619,5085.540258,-22,157
Tanzania (United Republic of),0.528302625609689,65.015,8.009893333,6.008,2805.116129,0,160
Uganda,0.528190903458153,62.973,11.24256,6.090251,1752.210989,11,160
Mauritania,0.527057139631419,64.704,8.46557,4.614,3746.083654,-17,159
Madagascar,0.520697358930592,66.681,10.41317,6.1,1403.915973,19,162
Benin,0.519834165001226,61.47,12.61455,3.774,2134.589379,2,163
Lesotho,0.517954879574867,53.705,10.73776,6.348,3243.839094,-9,164
Côte d'Ivoire,0.515747128403892,57.422,9.62984,5.192,3589.405001,-16,165
Senegal,0.513769572662736,67.665,8.97107,3.068934,3255.987639,-12,166
Togo,0.512732736035847,60.76,12.56833,4.949925584,1592.536702,10,166
Sudan,0.50749880927116,65.095,7.73987,3.72,3961.615683,-26,168
Haiti,0.502731374551794,63.66,9.5,5.441686,1664.892927,6,169
Afghanistan,0.495959522801484,64.486,10.13892,3.93,1745.665705,1,170
